home_team,away_team,home_record,away_record
CAR,N.J,2-2-0,2-2-0
DAL,COL,1-1-1,2-1-0
L.A,EDM,3-1-0,1-2-1
T.B,FLA,2-2-0,2-2-0
TOR,OTT,0-3-0,3-0-0
VGK,MIN,3-0-0,0-3-0
WPG,STL,3-1-0,1-2-1
WSH,MTL,2-0-1,1-2-0
CAR,FLA,2-1-0,1-2-0
DAL,EDM,1-1-1,2-1-0
