Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Cam Ward,CAR,13-14,30,71.86,83,-8.14,-0.29,823,91.27,89.91,-1.35,1630.65,1147,93.74,92.76,-0.97,-1.46
Cam Ward,CAR,14-15,51,112.77,119,-3.23,1.52,1334,91.55,91.08,-0.47,2966.83,1936,94.17,93.85,-0.32,7.48
Cam Ward,CAR,15-16,52,118.39,121,-1.61,1.98,1342,91.18,90.98,-0.19,3013.48,1911,93.8,93.67,-0.14,9.62
Cam Ward,CAR,16-17,61,148.96,162,-8.04,1.21,1710,91.29,90.53,-0.76,3555.45,2388,93.76,93.22,-0.55,6.13
Cam Ward,CAR,17-18,43,106.04,112,-3.96,1.13,1187,91.07,90.56,-0.5,2441.33,1632,93.5,93.14,-0.37,6.07
Cam Ward,CHI,18-19,33,98.17,115,-10.83,-0.3,1113,91.18,89.67,-1.51,1869.23,1461,93.28,92.13,-1.15,-1.62
Carey Price,MTL,07-08,41,112.67,102,13.67,4.69,1270,91.13,91.97,0.84,2359.28,1754,93.58,94.18,0.61,23.69
Carey Price,MTL,08-09,51,134.3,140,-3.7,1.6,1479,90.92,90.53,-0.39,2943.35,2025,93.37,93.09,-0.28,8.53
Carey Price,MTL,09-10,40,108.22,106,5.22,2.92,1201,90.99,91.17,0.19,2280.37,1668,93.51,93.65,0.13,15.17
Carey Price,MTL,10-11,72,184.94,163,23.94,7.98,2143,91.37,92.39,1.02,4178.57,2900,93.62,94.38,0.76,40.82
Carey Price,MTL,11-12,65,159.7,160,5.7,4.16,1913,91.65,91.64,-0.02,3941.63,2654,93.98,93.97,-0.01,20.77
Carey Price,MTL,12-13,39,83.58,97,-12.42,-0.95,1016,91.77,90.45,-1.32,2238.92,1391,93.99,93.03,-0.96,-4.72
Carey Price,MTL,13-14,59,154.41,132,23.41,7.55,1825,91.54,92.77,1.23,3439.83,2497,93.82,94.71,0.9,37.75
Carey Price,MTL,14-15,66,165.67,130,38.67,11.02,1953,91.52,93.34,1.83,3943.48,2710,93.89,95.2,1.32,54.08
Carey Price,MTL,15-16,12,30.32,24,7.32,2.08,365,91.69,93.42,1.73,686.62,491,93.82,95.11,1.29,10.1
Carey Price,MTL,16-17,62,151.38,138,14.38,5.64,1794,91.56,92.31,0.75,3680.37,2408,93.71,94.27,0.56,28.49
Carey Price,MTL,17-18,49,128.69,148,-14.31,-0.44,1486,91.34,90.04,-1.3,2837.02,1996,93.55,92.59,-0.97,-2.36
Carey Price,MTL,18-19,66,174.0,161,15.0,5.75,1952,91.09,91.75,0.67,3847.72,2655,93.45,93.94,0.49,31.26
Carey Price,MTL,19-20,58,155.79,159,3.79,3.38,1753,91.11,90.93,-0.18,3408.53,2351,93.37,93.24,-0.14,18.33
Carey Price,MTL,20-21,25,61.66,65,-2.34,0.61,659,90.64,90.14,-0.51,1470.2,927,93.35,92.99,-0.36,3.21
Carter Hart,PHI,18-19,31,85.68,81,6.68,2.72,976,91.22,91.7,0.48,1693.55,1289,93.35,93.72,0.36,14.81
Carter Hart,PHI,19-20,43,111.6,95,18.6,5.41,1099,89.85,91.36,1.51,2332.93,1529,92.7,93.79,1.09,29.35
Carter Hart,PHI,20-21,27,68.3,88,-18.7,-2.34,717,90.47,87.73,-2.75,1447.45,960,92.89,90.83,-2.05,-12.38
Carter Hutton,CHI,12-13,1,2.04,3,0.04,0.04,28,92.73,89.29,-3.44,58.55,44,95.37,93.18,-2.19,0.22
Carter Hutton,NSH,13-14,40,75.38,91,-13.62,-1.35,1006,92.51,90.95,-1.55,2067.02,1387,94.57,93.44,-1.13,-6.77
Carter Hutton,NSH,14-15,18,37.77,44,-5.23,-0.36,450,91.61,90.22,-1.39,1004.22,650,94.19,93.23,-0.96,-1.75
Carter Hutton,NSH,15-16,17,37.94,37,2.94,1.35,462,91.79,91.99,0.2,970.48,660,94.25,94.39,0.14,6.54
Carter Hutton,STL,16-17,30,55.16,58,-0.84,0.84,663,91.68,91.25,-0.43,1445.33,930,94.07,93.76,-0.31,4.26
Carter Hutton,STL,17-18,32,64.53,55,11.53,3.28,809,92.02,93.2,1.18,1585.88,1085,94.05,94.93,0.88,17.62
Carter Hutton,BUF,18-19,50,134.24,141,-4.76,1.45,1539,91.28,90.84,-0.44,2820.8,2111,93.64,93.32,-0.32,7.87
Carter Hutton,BUF,19-20,31,83.04,94,-7.96,-0.03,918,90.95,89.76,-1.19,1767.77,1265,93.44,92.57,-0.87,-0.14
Carter Hutton,BUF,20-21,13,31.67,39,-7.33,-0.82,341,90.71,88.56,-2.15,673.97,458,93.09,91.48,-1.6,-4.32
Casey Desmith,PIT,17-18,14,32.36,28,4.36,1.39,355,90.88,92.11,1.23,696.67,491,93.41,94.3,0.89,7.45
Casey Desmith,PIT,18-19,36,88.13,89,0.13,1.54,1059,91.68,91.6,-0.08,1907.25,1401,93.71,93.65,-0.06,8.4
Casey Desmith,PIT,20-21,20,47.19,48,1.19,1.08,544,91.33,91.18,-0.15,1115.3,714,93.39,93.28,-0.11,5.7
Cayden Primeau,MTL,19-20,2,5.5,5,0.5,0.18,72,92.36,93.06,0.69,118.77,97,94.33,94.85,0.51,1.0
Cayden Primeau,MTL,20-21,4,9.17,14,-4.83,-0.75,93,90.14,84.95,-5.2,199.97,130,92.95,89.23,-3.72,-3.98
Cedrick Desjardins,T.B,10-11,2,4.21,2,3.21,0.71,63,93.32,96.83,3.51,120.07,83,94.93,97.59,2.66,3.63
Cedrick Desjardins,T.B,12-13,3,7.03,8,-0.97,-0.05,73,90.37,89.04,-1.33,160.1,107,93.43,92.52,-0.91,-0.26
Cedrick Desjardins,T.B,13-14,1,0.98,2,-1.02,-0.19,13,92.48,84.62,-7.87,18.03,16,93.89,87.5,-6.39,-0.93
Chad Johnson,NYR,09-10,5,12.29,11,1.29,0.47,135,90.9,91.85,0.96,281.5,182,93.25,93.96,0.71,2.45
Chad Johnson,NYR,10-11,1,1.4,2,-0.6,-0.09,11,87.24,81.82,-5.43,20.0,17,91.75,88.24,-3.51,-0.44
Chad Johnson,PHX,12-13,4,7.37,5,3.37,0.81,108,93.18,95.37,2.19,243.52,160,95.4,96.88,1.48,4.05
Chad Johnson,BOS,13-14,27,60.49,53,9.49,3.03,708,91.46,92.51,1.06,1493.92,968,93.75,94.52,0.77,15.15
Chad Johnson,NYI,14-15,19,40.83,54,-13.17,-1.9,488,91.63,88.93,-2.7,1028.25,687,94.06,92.14,-1.92,-9.33
Chad Johnson,BUF,15-16,45,109.95,102,9.95,4.15,1270,91.34,91.97,0.63,2560.58,1802,93.9,94.34,0.44,20.16
Chad Johnson,CGY,16-17,36,87.92,87,2.92,2.21,968,90.92,91.01,0.1,1980.47,1391,93.68,93.75,0.07,11.16
