Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Daniel Taylor,CGY,12-13,2,5.16,6,-0.84,-0.07,68,92.41,91.18,-1.24,119.22,93,94.45,93.55,-0.9,-0.34
Daniel Taylor,OTT,17-18,1,2.93,4,-1.07,-0.15,34,91.37,88.24,-3.14,58.33,49,94.01,91.84,-2.18,-0.79
Dany Sabourin,PIT,07-08,24,50.81,54,-2.19,0.49,584,91.3,90.75,-0.55,1198.1,816,93.77,93.38,-0.39,2.5
Dany Sabourin,PIT,08-09,19,44.11,47,-2.89,0.22,463,90.47,89.85,-0.62,988.87,647,93.18,92.74,-0.45,1.19
Darcy Kuemper,MIN,12-13,6,10.46,10,0.46,0.29,119,91.21,91.6,0.39,287.45,180,94.19,94.44,0.26,1.45
Darcy Kuemper,MIN,13-14,26,52.21,59,-5.79,-0.18,701,92.55,91.58,-0.97,1470.18,978,94.66,93.97,-0.69,-0.89
Darcy Kuemper,MIN,14-15,31,53.85,67,-12.15,-1.43,713,92.45,90.6,-1.84,1534.12,999,94.61,93.29,-1.32,-7.01
Darcy Kuemper,MIN,15-16,21,44.61,43,1.61,1.21,507,91.2,91.52,0.32,1053.77,728,93.87,94.09,0.22,5.85
Darcy Kuemper,MIN,16-17,18,42.92,55,-11.08,-1.4,562,92.36,90.21,-2.15,1044.48,791,94.57,93.05,-1.53,-7.08
Darcy Kuemper,ARI,17-18,10,29.65,32,-1.35,0.28,317,90.65,89.91,-0.74,592.82,444,93.32,92.79,-0.53,1.49
Darcy Kuemper,L.A,17-18,19,45.6,35,12.6,3.12,516,91.16,93.22,2.06,992.18,720,93.67,95.14,1.47,16.78
Darcy Kuemper,ARI,18-19,55,140.0,126,16.0,5.38,1677,91.65,92.49,0.83,3221.0,2340,94.02,94.62,0.6,29.27
Darcy Kuemper,ARI,19-20,29,74.83,65,11.83,3.48,903,91.71,92.8,1.09,1722.72,1269,94.1,94.88,0.77,18.86
Darcy Kuemper,ARI,20-21,27,65.09,66,-0.91,0.95,709,90.82,90.69,-0.13,1529.75,989,93.42,93.33,-0.09,5.04
David Aebischer,PHX,07-08,1,2.34,3,-0.66,-0.08,33,92.9,90.91,-1.99,60.0,42,94.42,92.86,-1.56,-0.4
David Ayres,CAR,19-20,1,1.45,2,-0.55,-0.08,10,85.49,80.0,-5.49,28.68,16,90.93,87.5,-3.43,-0.41
David Leneveu,CBJ,10-11,1,0.96,2,-1.04,-0.19,12,92.02,83.33,-8.68,20.0,16,94.01,87.5,-6.51,-0.96
David Rittich,CGY,16-17,1,0.87,1,-0.13,-0.01,10,91.32,90.0,-1.32,20.0,13,93.32,92.31,-1.01,-0.07
David Rittich,CGY,17-18,21,46.16,48,-1.84,0.46,511,90.97,90.61,-0.36,999.83,719,93.58,93.32,-0.26,2.49
David Rittich,CGY,18-19,45,108.92,109,4.92,2.79,1228,91.13,91.12,-0.01,2477.08,1727,93.69,93.69,-0.0,15.15
David Rittich,CGY,19-20,48,128.46,137,-5.54,1.2,1474,91.28,90.71,-0.58,2757.5,2052,93.74,93.32,-0.42,6.51
David Rittich,CGY,20-21,15,32.79,36,-2.21,0.19,374,91.23,90.37,-0.86,737.1,527,93.78,93.17,-0.61,0.98
David Rittich,TOR,20-21,4,8.16,10,-1.84,-0.2,89,90.83,88.76,-2.06,218.23,136,94.0,92.65,-1.35,-1.07
Devan Dubnyk,EDM,09-10,19,54.73,64,-7.27,-0.45,578,90.53,88.93,-1.6,1072.07,849,93.55,92.46,-1.09,-2.36
Devan Dubnyk,EDM,10-11,35,102.66,93,12.66,4.29,1102,90.68,91.56,0.88,2051.18,1518,93.24,93.87,0.64,21.97
Devan Dubnyk,EDM,11-12,47,129.03,117,13.03,5.04,1377,90.63,91.5,0.87,2638.07,1887,93.16,93.8,0.64,25.16
Devan Dubnyk,EDM,12-13,38,101.33,90,13.33,4.56,1133,91.06,92.06,1.0,2088.5,1575,93.57,94.29,0.72,22.71
Devan Dubnyk,EDM,13-14,32,78.65,94,-12.35,-1.0,885,91.11,89.38,-1.73,1671.2,1241,93.66,92.43,-1.24,-5.0
Devan Dubnyk,NSH,13-14,2,4.05,9,-4.95,-0.92,60,93.25,85.0,-8.25,123.93,76,94.67,88.16,-6.52,-4.58
Devan Dubnyk,ARI,14-15,19,48.08,47,3.08,1.52,561,91.43,91.62,0.19,1029.28,804,94.02,94.15,0.13,7.44
Devan Dubnyk,MIN,14-15,39,80.5,68,13.5,4.27,1055,92.37,93.55,1.18,2248.02,1480,94.56,95.41,0.84,20.95
Devan Dubnyk,MIN,15-16,67,145.35,150,3.35,3.48,1828,92.05,91.79,-0.25,3781.93,2605,94.42,94.24,-0.18,16.87
Devan Dubnyk,MIN,16-17,65,135.11,141,-4.89,1.51,1842,92.66,92.35,-0.32,3737.07,2567,94.74,94.51,-0.23,7.61
Devan Dubnyk,MIN,17-18,60,140.05,145,1.05,2.61,1769,92.08,91.8,-0.28,3414.32,2479,94.35,94.15,-0.2,14.01
Devan Dubnyk,MIN,18-19,67,151.12,161,-4.88,1.69,1871,91.92,91.39,-0.53,3796.67,2637,94.27,93.89,-0.37,9.17
Devan Dubnyk,MIN,19-20,30,68.54,93,-21.46,-2.79,835,91.79,88.86,-2.93,1629.43,1134,93.96,91.8,-2.16,-15.14
Devan Dubnyk,COL,20-21,5,11.7,16,-2.3,-0.23,140,91.64,88.57,-3.07,287.22,193,93.94,91.71,-2.23,-1.21
Devan Dubnyk,S.J,20-21,17,38.65,47,-7.35,-0.72,456,91.52,89.69,-1.83,881.83,620,93.77,92.42,-1.35,-3.83
Dimitri Patzold,S.J,07-08,3,2.06,4,-1.94,-0.35,20,89.7,80.0,-9.7,43.58,26,92.08,84.62,-7.46,-1.76
Dominik Hasek,DET,07-08,40,77.46,84,-4.54,0.47,833,90.7,89.92,-0.79,2270.95,1161,93.33,92.76,-0.56,2.38
Drew Macintyre,VAN,07-08,2,2.16,3,-0.84,-0.12,22,90.18,86.36,-3.82,61.1,31,93.03,90.32,-2.71,-0.6
Drew Macintyre,BUF,11-12,2,1.13,1,0.13,0.05,18,93.72,94.44,0.73,43.48,18,93.72,94.44,0.73,0.24
Drew Macintyre,TOR,13-14,2,4.21,4,0.21,0.12,51,91.75,92.16,0.41,94.58,71,94.07,94.37,0.29,0.61
Dustin Tokarski,T.B,09-10,2,1.24,3,-1.76,-0.32,16,92.27,81.25,-11.02,44.35,23,94.62,86.96,-7.67,-1.65
Dustin Tokarski,T.B,11-12,5,10.38,14,-3.62,-0.53,116,91.05,87.93,-3.12,243.63,173,94.0,91.91,-2.09,-2.65
Dustin Tokarski,MTL,13-14,3,9.03,5,4.03,0.98,93,90.29,94.62,4.34,160.88,124,92.72,95.97,3.25,4.89
Dustin Tokarski,MTL,14-15,17,44.72,46,0.72,1.0,509,91.22,90.96,-0.25,1011.5,692,93.54,93.35,-0.19,4.91
Dustin Tokarski,MTL,15-16,6,8.12,12,-3.88,-0.64,98,91.71,87.76,-3.96,225.92,135,93.98,91.11,-2.87,-3.13
Dustin Tokarski,ANA,16-17,1,0.51,0,0.51,0.11,5,89.74,100.0,10.26,9.78,7,92.67,100.0,7.33,0.55
Dustin Tokarski,BUF,20-21,13,38.22,43,-3.78,-0.03,446,91.43,90.36,-1.07,724.42,608,93.71,92.93,-0.79,-0.16
Dwayne Roloson,EDM,07-08,42,106.33,114,-3.67,1.18,1160,90.83,90.17,-0.66,2269.68,1540,93.1,92.6,-0.5,5.95
Dwayne Roloson,EDM,08-09,62,172.15,163,17.15,6.16,1922,91.04,91.52,0.48,3507.95,2626,93.44,93.79,0.35,32.91
Dwayne Roloson,NYI,09-10,50,149.5,142,11.5,4.84,1551,90.36,90.84,0.48,2838.5,2157,93.07,93.42,0.35,25.18
Dwayne Roloson,NYI,10-11,20,57.19,52,5.19,2.04,627,90.88,91.71,0.83,1204.7,904,93.67,94.25,0.57,10.45
Dwayne Roloson,T.B,10-11,34,75.43,84,-6.57,0.12,966,92.19,91.3,-0.89,1980.22,1341,94.38,93.74,-0.64,0.61
Dwayne Roloson,T.B,11-12,40,103.78,128,-20.22,-2.13,1126,90.78,88.63,-2.15,2102.42,1561,93.35,91.8,-1.55,-10.65
Dylan Ferguson,VGK,17-18,1,0.4,1,-0.6,-0.11,2,79.93,50.0,-29.93,9.23,4,89.96,75.0,-14.96,-0.56
Eddie Lack,VAN,13-14,41,89.85,92,3.85,2.43,1039,91.35,91.15,-0.21,2271.82,1480,93.93,93.78,-0.15,12.17
Eddie Lack,VAN,14-15,41,105.28,94,13.28,4.7,1192,91.17,92.11,0.95,2298.2,1604,93.44,94.14,0.7,23.05
Eddie Lack,CAR,15-16,34,86.71,90,-0.29,1.66,908,90.45,90.09,-0.36,1908.85,1316,93.41,93.16,-0.25,8.05
Eddie Lack,CAR,16-17,20,46.74,48,0.74,1.03,492,90.5,90.24,-0.26,1080.85,738,93.67,93.5,-0.17,5.21
Eddie Lack,CGY,17-18,4,4.89,12,-7.11,-1.24,64,92.37,81.25,-11.12,135.67,94,94.8,87.23,-7.57,-6.67
Eddie Lack,N.J,17-18,4,9.78,11,-1.22,-0.05,113,91.34,90.27,-1.08,205.27,157,93.77,92.99,-0.78,-0.28
Edward Pasquale,T.B,18-19,3,9.71,12,-2.29,-0.25,102,90.48,88.24,-2.25,179.85,147,93.4,91.84,-1.56,-1.36
Elvis Merzlikins,CBJ,19-20,33,69.92,71,2.92,1.77,919,92.39,92.27,-0.12,1760.27,1272,94.5,94.42,-0.09,9.58
Elvis Merzlikins,CBJ,20-21,28,66.07,69,-2.93,0.63,824,91.98,91.63,-0.36,1487.55,1089,93.93,93.66,-0.27,3.31
Eric Comrie,WPG,16-17,1,3.85,4,-0.15,0.05,39,90.13,89.74,-0.39,57.27,50,92.3,92.0,-0.3,0.23
Eric Comrie,WPG,17-18,3,7.25,12,-4.75,-0.75,94,92.28,87.23,-5.05,180.25,116,93.75,89.66,-4.09,-4.04
Eric Comrie,WPG,18-19,1,2.06,5,-2.94,-0.5,28,92.63,82.14,-10.48,59.85,36,94.26,86.11,-8.15,-2.73
Eric Comrie,DET,19-20,3,7.03,9,-1.97,-0.22,66,89.34,86.36,-2.98,126.07,90,92.18,90.0,-2.18,-1.19
Eric Comrie,N.J,20-21,1,3.28,3,0.28,0.11,33,90.05,90.91,0.86,58.05,50,93.43,94.0,0.57,0.57
Erik Ersberg,L.A,07-08,14,35.51,33,4.51,1.54,451,92.13,92.68,0.56,791.3,648,94.52,94.91,0.39,7.77
Erik Ersberg,L.A,08-09,27,55.65,64,-7.35,-0.42,612,90.91,89.54,-1.36,1404.67,911,93.89,92.97,-0.92,-2.24
Erik Ersberg,L.A,09-10,11,21.6,22,-0.4,0.3,234,90.77,90.6,-0.17,550.22,332,93.49,93.37,-0.12,1.54
Evgeni Nabokov,S.J,07-08,77,151.46,160,-2.54,2.26,1765,91.42,90.93,-0.48,4427.77,2460,93.84,93.5,-0.35,11.4
Evgeni Nabokov,S.J,08-09,61,146.25,148,3.25,3.11,1636,91.06,90.95,-0.11,3593.33,2237,93.46,93.38,-0.08,16.62
Evgeni Nabokov,S.J,09-10,70,190.48,169,23.48,7.83,2134,91.07,92.08,1.01,4089.7,2977,93.6,94.32,0.72,40.72
Evgeni Nabokov,NYI,11-12,42,106.18,101,7.18,3.45,1171,90.93,91.37,0.44,2368.93,1689,93.71,94.02,0.31,17.23
Evgeni Nabokov,NYI,12-13,41,98.8,103,-1.2,1.63,1139,91.33,90.96,-0.37,2459.58,1617,93.89,93.63,-0.26,8.1
Evgeni Nabokov,NYI,13-14,40,92.57,102,-7.43,0.25,1071,91.36,90.48,-0.88,2223.6,1489,93.78,93.15,-0.63,1.27
Evgeni Nabokov,T.B,14-15,11,22.64,29,-6.36,-0.88,245,90.76,88.16,-2.6,550.83,334,93.22,91.32,-1.91,-4.34
Filip Gustavsson,OTT,20-21,9,21.5,17,4.5,1.24,254,91.54,93.31,1.77,466.07,365,94.11,95.34,1.23,6.57
Frederik Andersen,ANA,13-14,28,64.0,60,4.0,1.99,783,91.83,92.34,0.51,1554.43,1106,94.21,94.58,0.36,9.96
Frederik Andersen,ANA,14-15,54,120.48,119,5.48,3.41,1416,91.49,91.6,0.1,3030.77,2049,94.12,94.19,0.07,16.75
Frederik Andersen,ANA,15-16,43,89.77,88,3.77,2.47,1084,91.72,91.88,0.16,2274.52,1536,94.16,94.27,0.12,11.98
Frederik Andersen,TOR,16-17,66,186.7,168,27.7,8.94,2049,90.89,91.8,0.91,3774.28,2919,93.6,94.24,0.64,45.15
Frederik Andersen,TOR,17-18,66,197.34,182,24.34,7.99,2210,91.07,91.76,0.69,3856.88,3058,93.55,94.05,0.5,42.94
Frederik Andersen,TOR,18-19,60,174.74,162,15.74,5.95,1958,91.08,91.73,0.65,3471.63,2792,93.74,94.2,0.46,32.36
Frederik Andersen,TOR,19-20,52,137.44,142,-2.56,1.93,1572,91.26,90.97,-0.29,2954.35,2209,93.78,93.57,-0.21,10.46
Frederik Andersen,TOR,20-21,24,62.07,70,-4.93,0.19,669,90.72,89.54,-1.19,1403.42,935,93.36,92.51,-0.85,1.0
Fredrik Norrena,CBJ,07-08,36,60.6,83,-19.4,-2.76,803,92.45,89.66,-2.79,1848.07,1060,94.28,92.17,-2.11,-13.92
Fredrik Norrena,CBJ,08-09,8,10.49,17,-5.51,-0.85,133,92.11,87.22,-4.89,318.98,182,94.23,90.66,-3.57,-4.54
Garret Sparks,TOR,15-16,17,41.07,49,-7.93,-0.85,456,90.99,89.25,-1.74,973.18,640,93.58,92.34,-1.24,-4.13
Garret Sparks,TOR,18-19,20,47.87,58,-6.13,-0.28,590,91.89,90.17,-1.72,1098.23,821,94.17,92.94,-1.23,-1.5
Garret Sparks,VGK,19-20,1,1.09,2,-0.91,-0.14,14,92.18,85.71,-6.47,27.4,16,93.16,87.5,-5.66,-0.78
Gilles Senn,N.J,19-20,2,3.16,4,-0.84,-0.1,41,92.3,90.24,-2.05,69.65,51,93.81,92.16,-1.65,-0.56
Hannu Toivonen,STL,07-08,23,56.6,68,-9.4,-0.83,565,89.98,87.96,-2.02,1192.02,808,93.0,91.58,-1.41,-4.21
Harri Sateri,FLA,17-18,9,21.72,24,-2.28,-0.05,271,91.99,91.14,-0.84,488.57,361,93.98,93.35,-0.63,-0.26
Henrik Karlsson,CGY,10-11,17,29.48,34,-3.52,-0.16,386,92.36,91.19,-1.17,832.23,532,94.46,93.61,-0.85,-0.82
Henrik Karlsson,CGY,11-12,9,22.02,24,-1.98,0.01,239,90.79,89.96,-0.83,453.9,317,93.05,92.43,-0.63,0.03
Henrik Lundqvist,NYR,07-08,69,151.35,148,9.35,4.63,1735,91.28,91.47,0.19,4026.93,2407,93.71,93.85,0.14,23.4
Henrik Lundqvist,NYR,08-09,70,175.98,168,13.98,5.65,2005,91.22,91.62,0.4,4101.35,2783,93.68,93.96,0.29,30.19
Henrik Lundqvist,NYR,09-10,73,186.52,167,20.52,7.29,2098,91.11,92.04,0.93,4156.6,2953,93.68,94.34,0.66,37.9
Henrik Lundqvist,NYR,10-11,68,154.97,151,3.97,3.62,1949,92.05,92.25,0.2,3944.32,2666,94.19,94.34,0.15,18.5
Henrik Lundqvist,NYR,11-12,62,138.62,123,17.62,6.12,1752,92.09,92.98,0.89,3721.85,2496,94.45,95.07,0.63,30.54
Henrik Lundqvist,NYR,12-13,43,93.31,88,7.31,3.24,1190,92.16,92.61,0.45,2573.05,1663,94.39,94.71,0.32,16.11
Henrik Lundqvist,NYR,13-14,63,141.71,139,4.71,3.62,1794,92.1,92.25,0.15,3584.78,2450,94.22,94.33,0.11,18.09
Henrik Lundqvist,NYR,14-15,46,103.73,103,1.73,2.35,1327,92.18,92.24,0.06,2723.93,1855,94.41,94.45,0.04,11.51
Henrik Lundqvist,NYR,15-16,65,165.98,156,16.98,6.69,1943,91.46,91.97,0.51,3736.0,2734,93.93,94.29,0.37,32.47
Henrik Lundqvist,NYR,16-17,57,136.57,148,-6.43,1.3,1648,91.71,91.02,-0.69,3191.25,2304,94.07,93.58,-0.5,6.58
Henrik Lundqvist,NYR,17-18,63,172.15,172,8.15,4.49,2033,91.53,91.54,0.01,3477.67,2739,93.71,93.72,0.01,24.16
Henrik Lundqvist,NYR,18-19,52,146.7,158,-8.3,0.96,1699,91.37,90.7,-0.67,3056.37,2322,93.68,93.2,-0.49,5.22
Henrik Lundqvist,NYR,19-20,30,85.11,84,1.11,1.66,883,90.36,90.49,0.13,1579.2,1279,93.35,93.43,0.09,8.98
Hunter Miska,ARI,18-19,1,0.25,1,-0.75,-0.13,9,97.27,88.89,-8.38,18.27,11,97.76,90.91,-6.85,-0.73
Hunter Miska,COL,20-21,5,8.84,17,-7.16,-1.2,110,91.97,84.55,-7.42,258.7,147,93.99,88.44,-5.55,-6.33
Igor Shesterkin,NYR,19-20,12,32.16,29,3.16,1.14,424,92.41,93.16,0.75,677.7,563,94.29,94.85,0.56,6.16
Igor Shesterkin,NYR,20-21,35,84.93,82,3.93,2.23,983,91.36,91.66,0.3,1875.57,1356,93.74,93.95,0.22,11.78
Iiro Tarkki,ANA,11-12,1,1.46,3,-1.54,-0.28,10,85.41,70.0,-15.41,40.45,23,93.65,86.96,-6.7,-1.42
Ilya Bryzgalov,ANA,07-08,9,16.04,19,-2.96,-0.32,201,92.02,90.55,-1.47,422.42,262,93.88,92.75,-1.13,-1.59
Ilya Bryzgalov,PHX,07-08,55,143.76,128,16.76,5.96,1617,91.11,92.08,0.97,3145.05,2316,93.79,94.47,0.68,30.08
Ilya Bryzgalov,PHX,08-09,64,167.04,186,-16.96,-0.24,1958,91.47,90.5,-0.97,3676.32,2790,94.01,93.33,-0.68,-1.3
Ilya Bryzgalov,PHX,09-10,68,169.3,153,21.3,7.07,1905,91.11,91.97,0.86,3929.35,2720,93.78,94.38,0.6,36.76
Ilya Bryzgalov,PHX,10-11,68,182.21,168,16.21,6.43,2123,91.42,92.09,0.67,4043.4,3026,93.98,94.45,0.47,32.89
Ilya Bryzgalov,PHI,11-12,59,137.71,140,0.71,2.71,1551,91.12,90.97,-0.15,3399.87,2198,93.73,93.63,-0.1,13.54
Ilya Bryzgalov,PHI,12-13,40,97.53,105,-6.47,0.52,1064,90.83,90.13,-0.7,2280.48,1565,93.77,93.29,-0.48,2.59
Ilya Bryzgalov,EDM,13-14,20,56.87,57,0.87,1.22,622,90.86,90.84,-0.02,1127.17,906,93.72,93.71,-0.01,6.1
Ilya Bryzgalov,MIN,13-14,12,21.22,24,-2.78,-0.16,269,92.11,91.08,-1.03,673.7,376,94.36,93.62,-0.74,-0.82
Ilya Bryzgalov,ANA,14-15,8,11.73,23,-10.27,-1.87,150,92.18,84.67,-7.51,329.28,207,94.33,88.89,-5.44,-9.16
Ilya Samsonov,WSH,19-20,26,58.34,60,0.34,1.08,681,91.43,91.19,-0.24,1372.37,917,93.64,93.46,-0.18,5.84
Ilya Samsonov,WSH,20-21,19,41.18,49,-5.82,-0.38,498,91.73,90.16,-1.57,1071.27,690,94.03,92.9,-1.13,-2.01
Ilya Sorokin,NYI,20-21,22,48.45,46,3.45,1.53,562,91.38,91.81,0.44,1263.52,795,93.91,94.21,0.31,8.07
Ivan Prosvetov,ARI,20-21,3,5.16,9,-3.84,-0.64,51,89.88,82.35,-7.53,129.12,76,93.21,88.16,-5.05,-3.36
J-F Berube,NYI,15-16,7,18.05,18,0.05,0.37,210,91.4,91.43,0.03,392.57,268,93.26,93.28,0.02,1.79
J-F Berube,NYI,16-17,14,20.53,30,-9.47,-1.48,271,92.42,88.93,-3.49,524.32,365,94.37,91.78,-2.59,-7.47
J-F Berube,CHI,17-18,13,36.21,42,-4.79,-0.26,398,90.9,89.45,-1.45,663.47,539,93.28,92.21,-1.07,-1.4
Jack Campbell,DAL,13-14,1,4.12,6,-1.88,-0.3,47,91.23,87.23,-3.99,60.0,60,93.13,90.0,-3.13,-1.52
Jack Campbell,L.A,16-17,1,0.28,0,0.28,0.06,5,94.37,100.0,5.63,20.0,10,97.19,100.0,2.81,0.3
Jack Campbell,L.A,17-18,5,10.67,11,-0.33,0.13,145,92.64,92.41,-0.23,265.42,194,94.5,94.33,-0.17,0.68
Jack Campbell,L.A,18-19,31,72.17,60,12.17,3.47,826,91.26,92.74,1.47,1564.97,1185,93.91,94.94,1.03,18.85
Jack Campbell,L.A,19-20,20,48.69,57,-5.31,-0.13,572,91.49,90.03,-1.45,1192.37,790,93.84,92.78,-1.05,-0.69
Jack Campbell,TOR,19-20,6,15.85,16,0.85,0.44,189,91.61,91.53,-0.08,362.83,254,93.76,93.7,-0.06,2.39
Jack Campbell,TOR,20-21,22,53.72,46,10.72,2.99,585,90.82,92.14,1.32,1262.27,816,93.42,94.36,0.95,15.8
Jacob Markstrom,FLA,10-11,1,1.28,2,-0.72,-0.12,14,90.88,85.71,-5.16,39.48,20,93.61,90.0,-3.61,-0.63
Jacob Markstrom,FLA,11-12,7,18.01,17,2.01,0.74,222,91.89,92.34,0.46,380.67,292,93.83,94.18,0.35,3.67
Jacob Markstrom,FLA,12-13,23,53.21,68,-13.79,-1.77,683,92.21,90.04,-2.17,1260.48,907,94.13,92.5,-1.63,-8.82
Jacob Markstrom,FLA,13-14,12,24.23,36,-11.77,-1.89,285,91.5,87.37,-4.13,612.83,391,93.8,90.79,-3.01,-9.46
Jacob Markstrom,VAN,13-14,4,9.2,10,-0.8,0.01,76,87.9,86.84,-1.06,199.57,115,92.0,91.3,-0.7,0.06
Jacob Markstrom,VAN,14-15,3,2.64,4,-1.36,-0.22,33,92.0,87.88,-4.12,76.38,52,94.92,92.31,-2.61,-1.1
Jacob Markstrom,VAN,15-16,33,89.08,84,5.08,2.75,988,90.98,91.5,0.51,1832.07,1348,93.39,93.77,0.38,13.36
Jacob Markstrom,VAN,16-17,25,60.81,62,-1.19,0.88,693,91.23,91.05,-0.17,1405.1,949,93.59,93.47,-0.13,4.46
Jacob Markstrom,VAN,17-18,60,155.26,152,4.26,3.53,1745,91.1,91.29,0.19,3383.63,2430,93.61,93.74,0.13,18.95
Jacob Markstrom,VAN,18-19,60,168.86,165,7.86,4.41,1895,91.09,91.29,0.2,3569.73,2603,93.51,93.66,0.15,23.97
Jacob Markstrom,VAN,19-20,43,118.29,117,3.29,2.64,1420,91.67,91.76,0.09,2503.6,1900,93.77,93.84,0.07,14.31
Jacob Markstrom,CGY,20-21,43,100.73,109,-6.27,0.59,1149,91.23,90.51,-0.72,2452.45,1566,93.57,93.04,-0.53,3.11
Jake Allen,STL,12-13,15,30.48,33,-2.52,0.07,346,91.19,90.46,-0.73,801.33,485,93.72,93.2,-0.52,0.35
Jake Allen,STL,14-15,37,75.77,79,-0.23,1.38,909,91.67,91.31,-0.36,2055.93,1275,94.06,93.8,-0.25,6.78
Jake Allen,STL,15-16,47,100.66,101,5.66,3.09,1261,92.02,91.99,-0.03,2558.22,1691,94.05,94.03,-0.02,15.01
Jake Allen,STL,16-17,61,122.68,138,-9.32,0.41,1620,92.43,91.48,-0.95,3385.22,2241,94.53,93.84,-0.68,2.05
Jake Allen,STL,17-18,59,127.56,152,-21.44,-1.78,1614,92.1,90.58,-1.51,3291.57,2186,94.16,93.05,-1.12,-9.54
Jake Allen,STL,18-19,46,110.67,121,-8.33,0.34,1277,91.33,90.52,-0.81,2547.45,1746,93.66,93.07,-0.59,1.83
Jake Allen,STL,19-20,24,54.53,49,7.53,2.34,655,91.67,92.52,0.84,1325.13,875,93.77,94.4,0.63,12.66
Jake Allen,MTL,20-21,29,75.56,76,2.56,1.81,817,90.75,90.7,-0.05,1683.7,1120,93.25,93.21,-0.04,9.54
Jake Oettinger,DAL,20-21,29,58.94,61,-1.06,0.85,707,91.66,91.37,-0.29,1593.68,1006,94.14,93.94,-0.21,4.51
James Reimer,TOR,10-11,37,95.08,90,6.08,2.95,1133,91.61,92.06,0.45,2064.17,1598,94.05,94.37,0.32,15.07
James Reimer,TOR,11-12,34,88.82,97,-8.18,-0.01,974,90.88,90.04,-0.84,1868.28,1372,93.53,92.93,-0.6,-0.03
James Reimer,TOR,12-13,33,83.06,76,10.06,3.6,994,91.64,92.35,0.71,1842.67,1433,94.2,94.7,0.49,17.93
James Reimer,TOR,13-14,36,95.64,98,-2.36,1.29,1094,91.26,91.04,-0.22,1777.88,1579,93.94,93.79,-0.15,6.45
James Reimer,TOR,14-15,35,88.11,93,-2.89,1.09,1001,91.2,90.71,-0.49,1757.83,1345,93.45,93.09,-0.36,5.35
James Reimer,S.J,15-16,8,14.44,13,1.44,0.57,208,93.06,93.75,0.69,477.1,280,94.84,95.36,0.51,2.77
James Reimer,TOR,15-16,32,76.31,75,3.31,2.16,920,91.71,91.85,0.14,1795.28,1294,94.1,94.2,0.1,10.5
James Reimer,FLA,16-17,43,97.32,98,0.32,1.89,1222,92.04,91.98,-0.06,2305.82,1635,94.05,94.01,-0.04,9.53
James Reimer,FLA,17-18,44,123.62,118,9.62,3.92,1371,90.98,91.39,0.41,2383.23,1859,93.35,93.65,0.3,21.06
James Reimer,FLA,18-19,36,82.92,92,-7.08,0.17,928,91.06,90.09,-0.98,1792.33,1246,93.35,92.62,-0.73,0.91
James Reimer,CAR,19-20,25,67.57,59,9.57,2.91,701,90.36,91.58,1.22,1342.02,961,92.97,93.86,0.89,15.8
James Reimer,CAR,20-21,22,53.8,59,-0.2,0.91,627,91.42,90.59,-0.83,1312.3,843,93.62,93.0,-0.62,4.79
Jared Coreau,DET,16-17,14,32.19,41,-7.81,-0.96,362,91.11,88.67,-2.43,724.07,512,93.71,91.99,-1.72,-4.83
Jared Coreau,DET,17-18,7,18.13,27,-7.87,-1.15,203,91.07,86.7,-4.37,379.82,281,93.55,90.39,-3.16,-6.19
Jaroslav Halak,MTL,07-08,6,12.49,10,2.49,0.72,151,91.73,93.38,1.65,284.0,221,94.35,95.48,1.13,3.62
Jaroslav Halak,MTL,08-09,34,102.13,92,11.13,3.86,1076,90.51,91.45,0.94,1919.02,1509,93.23,93.9,0.67,20.62
Jaroslav Halak,MTL,09-10,45,126.63,104,24.63,7.0,1384,90.85,92.49,1.64,2615.78,1929,93.44,94.61,1.17,36.39
Jaroslav Halak,STL,10-11,57,134.75,136,0.75,2.56,1518,91.12,91.04,-0.08,3280.43,2171,93.79,93.74,-0.06,13.08
Jaroslav Halak,STL,11-12,46,101.32,90,13.32,4.54,1210,91.63,92.56,0.94,2726.97,1700,94.04,94.71,0.67,22.66
Jaroslav Halak,STL,12-13,16,24.5,29,-4.5,-0.44,286,91.43,89.86,-1.57,807.53,413,94.07,92.98,-1.09,-2.17
Jaroslav Halak,STL,13-14,40,80.13,83,-1.87,1.1,1001,92.0,91.71,-0.29,2226.65,1367,94.14,93.93,-0.21,5.48
Jaroslav Halak,WSH,13-14,12,31.08,27,4.08,1.37,383,91.88,92.95,1.07,710.93,531,94.15,94.92,0.77,6.84
Jaroslav Halak,NYI,14-15,59,148.63,141,12.63,5.41,1663,91.06,91.52,0.46,3484.0,2300,93.54,93.87,0.33,26.53
Jaroslav Halak,NYI,15-16,36,86.49,80,8.49,3.44,984,91.21,91.87,0.66,2080.97,1363,93.65,94.13,0.48,16.67
Jaroslav Halak,NYI,16-17,28,76.71,75,4.71,2.33,885,91.33,91.53,0.19,1590.7,1228,93.75,93.89,0.14,11.76
Jaroslav Halak,NYI,17-18,54,148.23,160,-7.77,1.14,1743,91.5,90.82,-0.68,3005.77,2345,93.68,93.18,-0.5,6.15
Jaroslav Halak,BOS,18-19,40,104.12,90,14.12,4.43,1158,91.01,92.23,1.22,2286.17,1594,93.47,94.35,0.89,24.11
