home_team,away_team,outcome,probability,home_wins_G1,home_wins_G2,home_wins_G3,home_wins_G4,home_wins_G5,home_wins_G6,home_wins_G7,home_wins,away_wins,conference,round
CAR,FLA,Away in 5,1.0,0.0,0.0,0.0,1.0,0.0,0.47451,0.5505,1,4,East,3
DAL,EDM,Away in 5,1.0,1.0,0.0,0.0,0.0,0.0,0.48821,0.55669,1,4,West,3
