player,playertoi,teamtoi,toi_perc,TOI_QOT,TOI_QOC,game_strength,last_team,all_teams,last_update,team,Pos
ARTTURI LEHKONEN,1406.3333333333333,4183.816666666667,0.3361364623210864,0.34345604176786493,0.2967504924407164,AS,COL,COL,2025-10-15 18:12:13,COL,F
NATHAN MACKINNON,1793.7666666666667,4788.133333333333,0.37462755144663196,0.34314367013582453,0.29832173384221283,AS,COL,COL,2025-10-15 18:12:13,COL,F
JONATHAN DROUIN,781.85,2611.0333333333333,0.2994408344078334,0.34126575276234333,0.2934929405935654,AS,COL,COL,2025-10-15 18:12:13,COL,F
GABRIEL VILARDI,1287.6666666666667,4292.266666666666,0.29999689363817095,0.33239654387785916,0.29476561563827064,AS,WPG,WPG,2025-10-15 18:12:13,WPG,F
ZACH HYMAN,1368.2333333333333,4417.433333333333,0.3097349139394671,0.33189382996023614,0.295327065659323,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
VALERI NICHUSHKIN,845.3166666666667,2610.5666666666666,0.32380581482947507,0.3299665288564926,0.2943615886232041,AS,COL,COL,2025-10-15 18:12:13,COL,F
MIKKO RANTANEN,1742.4333333333334,4960.833333333333,0.35123803124475056,0.3265772786905644,0.2937492244382567,AS,DAL,COL/CAR/DAL,2025-10-15 18:12:13,COL,F
MIKKO RANTANEN,1742.4333333333334,4960.833333333333,0.35123803124475056,0.3265772786905644,0.2937492244382567,AS,DAL,COL/CAR/DAL,2025-10-15 18:12:13,DAL,F
MIKKO RANTANEN,1742.4333333333334,4960.833333333333,0.35123803124475056,0.3265772786905644,0.2937492244382567,AS,DAL,COL/CAR/DAL,2025-10-15 18:12:13,CAR,F
CONNOR MCDAVID,1476.1,4056.3166666666666,0.36390156915756905,0.3254816368424571,0.2987710254690183,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
KIRILL KAPRIZOV,921.15,2489.016666666667,0.370085910767974,0.32484692181164104,0.2949318237274563,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
JOEL ERIKSSON EK,909.25,2796.75,0.32510950210065254,0.3242856425371099,0.2996616019449227,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
MATS ZUCCARELLO,1356.2,4180.8,0.3243876769996173,0.32376468082677345,0.29651569735696864,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
ALEKSANDER BARKOV,1357.2833333333333,4061.4666666666667,0.3341855159055842,0.32246152163308694,0.30230739877821894,AS,FLA,FLA,2025-10-15 18:12:13,FLA,F
MARCO ROSSI,1496.15,4976.4,0.3006490635800981,0.3217617350391253,0.29376529873657925,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
AUSTON MATTHEWS,1371.6333333333334,4055.7,0.3381989134633561,0.32133059132987546,0.3020868317809083,AS,TOR,TOR,2025-10-15 18:12:13,TOR,F
