player,playertoi,teamtoi,toi_perc,TOI_QOT,TOI_QOC,game_strength,last_team,all_teams,last_update,team,Pos
RICKARD RAKELL,1561.4,4922.55,0.3171933245980234,0.321307345747047,0.29771894092509094,AS,PIT,PIT,2025-10-15 18:12:13,PIT,F
CALE MAKAR,2057.3,4848.133333333333,0.42434889029454637,0.32112371358887903,0.2973904069377144,AS,COL,COL,2025-10-15 18:12:13,COL,D
SIDNEY CROSBY,1626.1,4862.55,0.3344130137479306,0.32112016582374997,0.29920911339203005,AS,PIT,PIT,2025-10-15 18:12:13,PIT,F
KYLE CONNOR,1672.3666666666666,4959.916666666667,0.3371763638501991,0.32087540306665807,0.2954405825283135,AS,WPG,WPG,2025-10-15 18:12:13,WPG,F
BRYAN RUST,1402.3,4314.966666666666,0.3249851292787121,0.3207588173074899,0.30093203446312483,AS,PIT,PIT,2025-10-15 18:12:13,PIT,F
MATT BOLDY,1655.45,4976.4,0.332660155936018,0.32066933974103745,0.2982633843809137,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
MARK SCHEIFELE,1676.0666666666666,4959.916666666667,0.33792234412540534,0.32044058208429815,0.2951104187657491,AS,WPG,WPG,2025-10-15 18:12:13,WPG,F
ANTHONY DUCLAIR,661.8333333333334,2670.9666666666667,0.24778794194361592,0.3190165986914102,0.29231349920955413,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
COLE CAUFIELD,1482.2333333333333,4981.883333333333,0.2975246978217742,0.31875002201198216,0.2967008661209934,AS,MTL,MTL,2025-10-15 18:12:13,MTL,F
MATTHEW KNIES,1444.1666666666667,4720.583333333333,0.30592970501527,0.3181249999959718,0.2989449166797538,AS,TOR,TOR,2025-10-15 18:12:13,TOR,F
SAM REINHART,1619.6833333333334,4788.333333333333,0.33825617821092935,0.31812317421964204,0.3024804871912979,AS,FLA,FLA,2025-10-15 18:12:13,FLA,F
BRAYDEN POINT,1499.9,4660.916666666667,0.3218036509270351,0.31786808543054484,0.2946364219092113,AS,T.B,T.B,2025-10-15 18:12:13,T.B,F
DMITRI VORONKOV,1225.45,4438.516666666666,0.2760944910274078,0.3175281023858686,0.29144133620519014,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
JURAJ SLAFKOVSKY,1370.5666666666666,4801.883333333333,0.2854227334413928,0.31751121462954907,0.29528164587085154,AS,MTL,MTL,2025-10-15 18:12:13,MTL,F
BOONE JENNER,467.6333333333333,1570.4833333333333,0.2977639580171709,0.3168771117438779,0.28913946127706747,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
SEAN MONAHAN,1026.8,3279.6833333333334,0.31307900661141064,0.31663135463502207,0.29721817854862564,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
KIRILL MARCHENKO,1468.05,4795.8,0.30611159764794194,0.3164719042737416,0.2944434968944333,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
BRADY TKACHUK,1313.1,4353.116666666667,0.3016459471566349,0.3164118245734407,0.2924601768066747,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
DEVON TOEWS,1868.8,4603.816666666667,0.405924070246064,0.3158567895464271,0.29596456335608357,AS,COL,COL,2025-10-15 18:12:13,COL,D
VILLE KOIVUNEN,144.91666666666666,483.46666666666664,0.2997448979591837,0.31574763690666535,0.28750628744840745,AS,PIT,PIT,2025-10-15 18:12:13,PIT,F
NIKITA KUCHEROV,1651.35,4720.916666666667,0.34979435490988686,0.31531731156871834,0.29589261003212414,AS,T.B,T.B,2025-10-15 18:12:13,T.B,F
JAKE GUENTZEL,1599.4166666666667,4842.983333333334,0.3302544230656723,0.31440502034908346,0.29428196687927255,AS,T.B,T.B,2025-10-15 18:12:13,T.B,F
LUCAS RAYMOND,1540.2333333333333,4973.95,0.3096599952418768,0.3141891709957452,0.2991197361696658,AS,DET,DET,2025-10-15 18:12:13,DET,F
IVAN BARBASHEV,1175.8833333333334,4246.95,0.2768771314315764,0.3140692660515423,0.29544287648149126,AS,VGK,VGK,2025-10-15 18:12:13,VGK,F
JOSH NORRIS,1027.4,3391.3,0.3029516704508596,0.3139602066374009,0.29470317946348373,AS,BUF,OTT/BUF,2025-10-15 18:12:13,OTT,F
JOSH NORRIS,1027.4,3391.3,0.3029516704508596,0.3139602066374009,0.29470317946348373,AS,BUF,OTT/BUF,2025-10-15 18:12:13,BUF,F
MATT CORONATO,1353.6333333333334,4700.433333333333,0.2879805408012027,0.3139195903738137,0.29272736620136247,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
ANDERS LEE,1398.95,4978.033333333334,0.28102463489597634,0.31382830261807326,0.2924491737716388,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
ALEXIS LAFRENIERE,1394.45,4949.783333333334,0.28171940185934063,0.31379875478909663,0.2901728762849572,AS,NYR,NYR,2025-10-15 18:12:13,NYR,F
MARK STONE,1270.7833333333333,3992.2833333333333,0.31830990619403265,0.31362121369839735,0.29793103856044245,AS,VGK,VGK,2025-10-15 18:12:13,VGK,F
MITCH MARNER,1726.55,4900.583333333333,0.35231520057136057,0.31351082462590124,0.3029709900536589,AS,TOR,TOR,2025-10-15 18:12:13,TOR,F
RYAN NUGENT-HOPKINS,1479.8833333333334,4718.733333333334,0.3136187677484071,0.31283992729572335,0.29607706108976917,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
ARTEMI PANARIN,1574.65,4829.783333333334,0.3260291179383478,0.3123911710452584,0.2930935652377349,AS,NYR,NYR,2025-10-15 18:12:13,NYR,F
MATHEW BARZAL,610.4833333333333,1816.2833333333333,0.33611679528707894,0.3122594955178357,0.2954546143772797,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
CARTER VERHAEGHE,1447.4,4913.333333333333,0.29458616010854816,0.3120605720597428,0.2946118821305366,AS,FLA,FLA,2025-10-15 18:12:13,FLA,F
KYLE PALMIERI,1518.3333333333333,4978.033333333334,0.3050066626043752,0.3111572180549812,0.2939340146025858,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
DYLAN LARKIN,1645.8,4973.95,0.3308839051458097,0.3109894114988458,0.29913474140481355,AS,DET,DET,2025-10-15 18:12:13,DET,F
NICK SUZUKI,1644.9666666666667,4981.883333333333,0.33018972075486847,0.3103103040668563,0.29727553308791127,AS,MTL,MTL,2025-10-15 18:12:13,MTL,F
CLAUDE GIROUX,1474.6333333333334,4894.783333333334,0.30126631413715965,0.31025485677127346,0.29198535670649123,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
ROOPE HINTZ,1283.7333333333333,4600.966666666666,0.2790138304269393,0.31009585005688145,0.2961487739923878,AS,DAL,DAL,2025-10-15 18:12:13,DAL,F
RUTGER MCGROARTY,116.88333333333334,483.46666666666664,0.24176089354660782,0.3098724790471172,0.2967692145535119,AS,PIT,PIT,2025-10-15 18:12:13,PIT,F
LEON DRAISAITL,1527.7333333333333,4297.516666666666,0.3554921252971677,0.3096596514830457,0.2970467217819351,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
PAVEL BUCHNEVICH,1442.0,4620.916666666667,0.3120592955943085,0.3092284036571898,0.29957486938055694,AS,STL,STL,2025-10-15 18:12:13,STL,F
DRAKE BATHERSON,1487.6833333333334,4955.583333333333,0.3002034741957724,0.3091941312115133,0.290582858914619,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
MIKAEL BACKLUND,1424.0,4634.133333333333,0.3072850730809069,0.30884041651845406,0.29456236303359706,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
TIMO MEIER,1424.2333333333333,4843.466666666666,0.2940524693057314,0.3087109411544169,0.29314214548088713,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
MARCUS JOHANSSON,1179.6,4376.4,0.26953660542911984,0.30850211669530825,0.29060798403166316,AS,MIN,MIN,2025-10-15 18:12:13,MIN,F
JESPER BRATT,1534.8,4903.466666666666,0.3130030454644333,0.3084032358173383,0.2960187205062222,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
BLAKE COLEMAN,1450.1333333333334,5001.983333333334,0.28991166837154597,0.30837020319971176,0.2912911733903535,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
MARTIN NECAS,1500.8833333333334,4780.583333333333,0.31395401537469275,0.30827513379267146,0.29204473949577253,AS,COL,CAR/COL,2025-10-15 18:12:13,CAR,F
MARTIN NECAS,1500.8833333333334,4780.583333333333,0.31395401537469275,0.30827513379267146,0.29204473949577253,AS,COL,CAR/COL,2025-10-15 18:12:13,COL,F
ALEX DEBRINCAT,1465.4333333333334,4973.95,0.294621645439406,0.3081919349709021,0.2911159503411874,AS,DET,DET,2025-10-15 18:12:13,DET,F
TREVOR MOORE,1197.05,4297.25,0.2785618709639886,0.30816884981268816,0.29221848068040945,AS,L.A,L.A,2025-10-15 18:12:13,L.A,F
JAKE DEBRUSK,1365.2333333333333,5000.35,0.273027554737835,0.3081092941303524,0.293298036416777,AS,VAN,VAN,2025-10-15 18:12:13,VAN,F
JACK EICHEL,1581.0833333333333,4657.766666666666,0.3394509528887235,0.30805658100276406,0.29949192315521617,AS,VGK,VGK,2025-10-15 18:12:13,VGK,F
ONDREJ PALAT,1059.0833333333333,4663.466666666666,0.22710215576395243,0.3080561994597889,0.28999200882690107,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
ROBERT THOMAS,1383.6833333333334,4256.95,0.32504101136572744,0.30787934854601995,0.3016319030624801,AS,STL,STL,2025-10-15 18:12:13,STL,F
BO HORVAT,1634.05,4918.033333333334,0.3322567964159115,0.3078367942077845,0.29534307744398985,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
JORDAN KYROU,1433.5666666666666,4981.383333333333,0.287784852266606,0.3078161291316516,0.2918910766128345,AS,STL,STL,2025-10-15 18:12:13,STL,F
JAKE NEIGHBOURS,1303.3666666666666,4981.383333333333,0.2616475343194494,0.30777425313230194,0.2927427944707915,AS,STL,STL,2025-10-15 18:12:13,STL,F
TYLER TOFFOLI,1320.5,4733.25,0.27898378492579096,0.30770941641196303,0.2921682244083632,AS,S.J,S.J,2025-10-15 18:12:13,S.J,F
ANTHONY CIRELLI,1495.2333333333333,4845.916666666667,0.30855531289229765,0.3076233241803359,0.2985422415324779,AS,T.B,T.B,2025-10-15 18:12:13,T.B,F
TAGE THOMPSON,1422.6,4606.566666666667,0.30882001780067586,0.30748574210588897,0.2961726688423037,AS,BUF,BUF,2025-10-15 18:12:13,BUF,F
YEGOR CHINAKHOV,471.6,1812.5666666666666,0.26018353347922835,0.307483252099022,0.28873423648956753,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
MORGAN GEEKIE,1302.2166666666667,4668.933333333333,0.27891095753491163,0.30710641348083595,0.2902908629935368,AS,BOS,BOS,2025-10-15 18:12:13,BOS,F
PAVEL ZACHA,1552.1333333333334,4973.95,0.31205245998317904,0.3068042341915354,0.2945372683017246,AS,BOS,BOS,2025-10-15 18:12:13,BOS,F
MATTHEW TKACHUK,948.0333333333333,3151.2,0.3008483540661758,0.30671250991903454,0.2931066506197008,AS,FLA,FLA,2025-10-15 18:12:13,FLA,F
VINCENT TROCHECK,1715.8833333333334,4949.783333333334,0.34665827123746157,0.30656149814138994,0.2939527837253396,AS,NYR,NYR,2025-10-15 18:12:13,NYR,F
BROCK NELSON,1513.0,4860.283333333334,0.3112987240112888,0.3064187998298404,0.2933409511686285,AS,COL,NYI/COL,2025-10-15 18:12:13,NYI,F
BROCK NELSON,1513.0,4860.283333333334,0.3112987240112888,0.3064187998298404,0.2933409511686285,AS,COL,NYI/COL,2025-10-15 18:12:13,COL,F
FILIP FORSBERG,1527.4833333333333,4955.05,0.3082679959502595,0.3062026356644516,0.295435970260094,AS,NSH,NSH,2025-10-15 18:12:13,NSH,F
J.T. MILLER,1310.4166666666667,4354.8,0.30091316861088147,0.3061514046245488,0.29715366461426473,AS,NYR,VAN/NYR,2025-10-15 18:12:13,VAN,F
J.T. MILLER,1310.4166666666667,4354.8,0.30091316861088147,0.3061514046245488,0.29715366461426473,AS,NYR,VAN/NYR,2025-10-15 18:12:13,NYR,F
CLAYTON KELLER,1548.5666666666666,4934.216666666666,0.3138424538849463,0.30613593804842915,0.2959734317338932,AS,UTA,UTA,2025-10-15 18:12:13,UTA,F
JASON ROBERTSON,1459.0666666666666,4960.966666666666,0.29410934696866875,0.30604811542232846,0.29464756295523825,AS,DAL,DAL,2025-10-15 18:12:13,DAL,F
JOHN TAVARES,1366.9166666666667,4539.416666666667,0.3011216566005177,0.30592461354863576,0.2929149982969559,AS,TOR,TOR,2025-10-15 18:12:13,TOR,F
EVAN BOUCHARD,1923.5833333333333,4958.733333333334,0.387918285583684,0.3057532446228622,0.2942920010281184,AS,EDM,EDM,2025-10-15 18:12:13,EDM,D
KENT JOHNSON,1173.65,4135.333333333333,0.2838102531033371,0.30563904686943566,0.2901569217878778,AS,CBJ,CBJ,2025-10-15 18:12:13,CBJ,F
ANZE KOPITAR,1535.4166666666667,4903.35,0.31313625718471383,0.30560496071256965,0.29435183719274516,AS,L.A,L.A,2025-10-15 18:12:13,L.A,F
JJ PETERKA,1400.1666666666667,4662.3,0.30031672493547534,0.30541014915773274,0.2912570071318452,AS,BUF,BUF,2025-10-15 18:12:13,BUF,F
NICO HISCHIER,1529.0666666666666,4538.466666666666,0.3369126136580637,0.30537919425072513,0.2986131011078472,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
TOM WILSON,1511.1,4915.566666666667,0.30741114961313376,0.30533207557092323,0.29608668947234523,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
NICK SCHMALTZ,1514.1833333333334,4994.216666666666,0.30318735337206704,0.3053055214465095,0.2950667594084945,AS,UTA,UTA,2025-10-15 18:12:13,UTA,F
ANDREI KUZMENKO,1031.5833333333333,4002.633333333333,0.25772616360895745,0.3051533638201612,0.2835945483394106,AS,PHI,CGY/L.A/PHI,2025-10-15 18:12:13,CGY,F
ANDREI KUZMENKO,1031.5833333333333,4002.633333333333,0.25772616360895745,0.3051533638201612,0.2835945483394106,AS,PHI,CGY/L.A/PHI,2025-10-15 18:12:13,L.A,F
ANDREI KUZMENKO,1031.5833333333333,4002.633333333333,0.25772616360895745,0.3051533638201612,0.2835945483394106,AS,PHI,CGY/L.A/PHI,2025-10-15 18:12:13,PHI,F
ADRIAN KEMPE,1551.5833333333333,4903.35,0.3164333227963195,0.3051133782207587,0.29435312117557305,AS,L.A,L.A,2025-10-15 18:12:13,L.A,F
WILLIAM EKLUND,1490.4666666666667,4673.25,0.31893578701474706,0.30499644196428316,0.2931817511855182,AS,S.J,S.J,2025-10-15 18:12:13,S.J,F
JASON ZUCKER,1167.55,4430.766666666666,0.2635097011051511,0.30499400360629203,0.28929815645837265,AS,BUF,BUF,2025-10-15 18:12:13,BUF,F
MARTIN POSPISIL,1118.45,4941.983333333334,0.22631602022130115,0.3049860319726428,0.28577540561874976,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
BROCK BOESER,1362.1,4580.35,0.2973790212538343,0.30469741842364617,0.293154832344731,AS,VAN,VAN,2025-10-15 18:12:13,VAN,F
BRAD MARCHAND,1301.0166666666667,4317.416666666667,0.3013414657684958,0.3045906517243791,0.298474253538467,AS,FLA,BOS/FLA,2025-10-15 18:12:13,BOS,F
BRAD MARCHAND,1301.0166666666667,4317.416666666667,0.3013414657684958,0.3045906517243791,0.298474253538467,AS,FLA,BOS/FLA,2025-10-15 18:12:13,FLA,F
VIKTOR ARVIDSSON,1004.6333333333333,4054.2166666666667,0.24779961603762338,0.3044747927787266,0.28893848416294904,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
MATTIAS EKHOLM,1442.75,3927.55,0.3673409631958855,0.3044195990851899,0.2966139546648477,AS,EDM,EDM,2025-10-15 18:12:13,EDM,D
JIMMY SNUGGERUD,108.26666666666667,430.65,0.25140291806958476,0.304248550363734,0.28975668937143334,AS,STL,STL,2025-10-15 18:12:13,STL,F
DAVID PASTRNAK,1655.2666666666667,4973.95,0.33278715440779794,0.30423253866440475,0.2937098885445566,AS,BOS,BOS,2025-10-15 18:12:13,BOS,F
GUSTAV NYQUIST,1331.4333333333334,4783.85,0.2783183697928098,0.30360791142112686,0.29287049171274415,AS,MIN,NSH/MIN,2025-10-15 18:12:13,NSH,F
GUSTAV NYQUIST,1331.4333333333334,4783.85,0.2783183697928098,0.30360791142112686,0.29287049171274415,AS,MIN,NSH/MIN,2025-10-15 18:12:13,MIN,F
SETH JARVIS,1410.4166666666667,4405.333333333333,0.32016116828087166,0.3035528845187009,0.29949166681418493,AS,CAR,CAR,2025-10-15 18:12:13,CAR,F
CONNOR MCMICHAEL,1378.3,4975.566666666667,0.27701367348442724,0.3034951621955049,0.29333747572024016,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
ROSS COLTON,879.6166666666667,3695.35,0.23803338429828477,0.30338692157085645,0.28256682716964115,AS,COL,COL,2025-10-15 18:12:13,COL,F
RYAN STROME,1367.65,4989.266666666666,0.2741184409198413,0.30333908912563773,0.293661731473513,AS,ANA,ANA,2025-10-15 18:12:13,ANA,F
PATRICK KANE,1289.9833333333333,4359.116666666667,0.2959276917724157,0.30327155537923467,0.28865869702952346,AS,DET,DET,2025-10-15 18:12:13,DET,F
DYLAN STROME,1425.4666666666667,4975.566666666667,0.28649333074289696,0.30325422685307313,0.2906830556419279,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
BRANDON HAGEL,1700.95,4965.916666666667,0.3425248779178064,0.30309591722422213,0.29811626213784265,AS,T.B,T.B,2025-10-15 18:12:13,T.B,F
ALIAKSEI PROTAS,1250.6666666666667,4610.566666666667,0.27126094406327494,0.30306088307116025,0.2915950584839722,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
MATT SAVOIE,50.06666666666667,240.0,0.2086111111111111,0.3028692402620876,0.2878147106415947,AS,EDM,EDM,2025-10-15 18:12:13,EDM,F
MIKA ZIBANEJAD,1538.5166666666667,4949.783333333334,0.31082505294844553,0.3028307059650279,0.29729782992673653,AS,NYR,NYR,2025-10-15 18:12:13,NYR,F
TIM STUTZLE,1615.6833333333334,4955.583333333333,0.3260329258244068,0.30266988483225754,0.289072706254433,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
JADEN SCHWARTZ,1448.5,4898.75,0.29568767542740493,0.30260353590334926,0.2908222442748451,AS,SEA,SEA,2025-10-15 18:12:13,SEA,F
JIRI KULICH,917.15,3754.116666666667,0.24430514057900882,0.3023912850438366,0.2886039889114821,AS,BUF,BUF,2025-10-15 18:12:13,BUF,F
KAAPO KAKKO,1233.6833333333334,4770.116666666667,0.2586274968816276,0.30237419874807514,0.2868338678170887,AS,SEA,NYR/SEA,2025-10-15 18:12:13,SEA,F
KAAPO KAKKO,1233.6833333333334,4770.116666666667,0.2586274968816276,0.30237419874807514,0.2868338678170887,AS,SEA,NYR/SEA,2025-10-15 18:12:13,NYR,F
JORDAN EBERLE,683.05,2538.5333333333333,0.2690726928935343,0.30236102558581035,0.28824813650128245,AS,SEA,SEA,2025-10-15 18:12:13,SEA,F
STEFAN NOESEN,1242.7166666666667,4717.3,0.263438124916089,0.30235979304607613,0.2896312113908839,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
ELIAS LINDHOLM,1482.3833333333334,4973.95,0.2980293998398322,0.3023076575682266,0.2966650573891054,AS,BOS,BOS,2025-10-15 18:12:13,BOS,F
ALEX TUCH,1578.85,4972.116666666667,0.3175408193023092,0.30221009084802136,0.2941083257915949,AS,BUF,BUF,2025-10-15 18:12:13,BUF,F
SAMUEL HONZEK,61.96666666666667,301.55,0.2054938373956779,0.30217591904755187,0.27835980664931487,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
STEVEN STAMKOS,1462.15,4955.05,0.2950827943209453,0.30217297524434855,0.2894742748433984,AS,NSH,NSH,2025-10-15 18:12:13,NSH,F
PIERRE-LUC DUBOIS,1418.5333333333333,4975.566666666667,0.28509985462292403,0.3021199429278989,0.2944757684855427,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
ALEX LAFERRIERE,1272.95,4663.35,0.27296900296996796,0.3021014846354994,0.2840265413493652,AS,L.A,L.A,2025-10-15 18:12:13,L.A,F
MAXIM TSYPLAKOV,1152.4666666666667,4675.983333333334,0.24646509290380988,0.3020545960076085,0.28559122398634107,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
MAX PACIORETTY,499.4166666666667,2231.1,0.22384324623130594,0.3020291284178926,0.2875411035274457,AS,TOR,TOR,2025-10-15 18:12:13,TOR,F
JONATHAN MARCHESSAULT,1402.2,4715.05,0.29738815070890023,0.30201446846296737,0.2883560194275124,AS,NSH,NSH,2025-10-15 18:12:13,NSH,F
SEBASTIAN AHO,1586.9666666666667,4770.333333333333,0.3326741667248969,0.3018898498500421,0.2995240986454083,AS,CAR,CAR,2025-10-15 18:12:13,CAR,F
ELIAS PETTERSSON,1194.2666666666667,3886.766666666667,0.30726482165982005,0.3017488542140569,0.2945362805145734,AS,VAN,VAN,2025-10-15 18:12:13,VAN,F
ALEX OVECHKIN,1152.0833333333333,3951.2,0.2915780859823176,0.3017163229201321,0.2892848745660444,AS,WSH,WSH,2025-10-15 18:12:13,WSH,F
DAVID PERRON,602.8666666666667,2591.0833333333335,0.23266973273727207,0.3016220436278462,0.28140266469563907,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
RIDLY GREIG,1332.2333333333333,4712.983333333334,0.28267304149176564,0.3015803482607141,0.2908503685794906,AS,OTT,OTT,2025-10-15 18:12:13,OTT,F
FABIAN ZETTERLUND,1372.7166666666667,5081.266666666666,0.27015245542450045,0.3015387841354335,0.2895137386907401,AS,OTT,S.J/OTT,2025-10-15 18:12:13,S.J,F
FABIAN ZETTERLUND,1372.7166666666667,5081.266666666666,0.27015245542450045,0.3015387841354335,0.2895137386907401,AS,OTT,S.J/OTT,2025-10-15 18:12:13,OTT,F
JAMIE BENN,1224.1,4840.966666666666,0.2528627202555963,0.30136474122107515,0.29103705376005895,AS,DAL,DAL,2025-10-15 18:12:13,DAL,F
VICTOR OLOFSSON,807.0666666666667,3390.3166666666666,0.2380505262536931,0.3013274266492472,0.286169421367633,AS,VGK,VGK,2025-10-15 18:12:13,VGK,F
TYLER SEGUIN,321.68333333333334,1200.0,0.26806944444444447,0.3013222466064913,0.28662741639905354,AS,DAL,DAL,2025-10-15 18:12:13,DAL,F
FRANK VATRANO,1421.1666666666667,4924.95,0.28856468932002693,0.30127675695183415,0.29461512798357065,AS,ANA,ANA,2025-10-15 18:12:13,ANA,F
AARON EKBLAD,1316.7,3388.1,0.3886248930078805,0.30123545008160496,0.298147129851657,AS,FLA,FLA,2025-10-15 18:12:13,FLA,D
WYATT JOHNSTON,1543.5333333333333,4960.966666666666,0.3111355985728588,0.3012281542053342,0.2951998426839461,AS,DAL,DAL,2025-10-15 18:12:13,DAL,F
JEAN-GABRIEL PAGEAU,1342.7833333333333,4796.7,0.2799389858305363,0.3011994452404082,0.2894092429914789,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
WARREN FOEGELE,1324.8166666666666,4963.35,0.2669198558769111,0.30115711996580397,0.2864568241571171,AS,L.A,L.A,2025-10-15 18:12:13,L.A,F
VINNIE HINOSTROZA,493.95,2301.8,0.21459292727430707,0.3011387966145494,0.286618074324345,AS,MIN,NSH/MIN,2025-10-15 18:12:13,MIN,F
VINNIE HINOSTROZA,493.95,2301.8,0.21459292727430707,0.3011387966145494,0.286618074324345,AS,MIN,NSH/MIN,2025-10-15 18:12:13,NSH,F
JONATHAN HUBERDEAU,1582.9166666666667,4941.983333333334,0.3202998796029934,0.30109385905311425,0.29212979821383894,AS,CGY,CGY,2025-10-15 18:12:13,CGY,F
ILYA MIKHEYEV,1254.15,4842.666666666667,0.25897921255506606,0.30103730964837294,0.29352647625860795,AS,CHI,CHI,2025-10-15 18:12:13,CHI,F
SIMON HOLMSTROM,1264.8666666666666,4554.866666666667,0.2776956515375496,0.300799373133635,0.2893299443415389,AS,NYI,NYI,2025-10-15 18:12:13,NYI,F
RYAN O'REILLY,1499.8333333333333,4775.05,0.3140979326569006,0.3007731941038267,0.2966639880115572,AS,NSH,NSH,2025-10-15 18:12:13,NSH,F
DYLAN GUENTHER,1189.8,4269.3,0.2786873726372005,0.3006489517135979,0.2890865785761211,AS,UTA,UTA,2025-10-15 18:12:13,UTA,F
TY MUELLER,20.583333333333332,127.48333333333333,0.1614590142502288,0.3006349614368737,0.2716867634901241,AS,VAN,VAN,2025-10-15 18:12:13,VAN,F
NIKOLAJ EHLERS,1085.8333333333333,4170.966666666666,0.260331338059123,0.30058448684333583,0.2882875744312877,AS,WPG,WPG,2025-10-15 18:12:13,WPG,F
JACK HUGHES,1295.85,3751.9666666666667,0.34537886797146383,0.3005109483686726,0.29412397289544534,AS,N.J,N.J,2025-10-15 18:12:13,N.J,F
