Player,Season,Position,Team,GP,TOI,TOI/GP,game_strength,G,A1,A2,P1,P,ixG,iSF,iCF,iFF
Aatu Raty,25-26,F,VAN,6,68.41666666666667,11.402777777777779,5v5,0.0,1.0,0.0,1.0,1.0,0.6129617755,1.0,8.0,5.0
Aatu Raty,25-26,F,VAN,6,7.866666666666666,1.3111111111111111,SH,0.0,0.0,0.0,0.0,0.0,0.039136168,1.0,1.0,1.0
Adam Beckman,23-24,F,MIN,11,103.23333333333332,9.384848484848483,AS,0.0,1.0,1.0,1.0,2.0,1.0996241614,10.0,22.0,17.0
Adam Beckman,23-24,F,MIN,11,103.13333333333333,9.375757575757575,EV,0.0,1.0,0.0,1.0,1.0,1.0996241614,10.0,22.0,17.0
Adam Beckman,23-24,F,MIN,11,103.13333333333333,9.375757575757575,5v5,0.0,1.0,0.0,1.0,1.0,1.0996241614,10.0,22.0,17.0
Adam Beckman,23-24,F,MIN,11,0.1,0.009090909090909092,PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Boqvist,23-24,D,CBJ,35,627.5166666666667,17.92904761904762,AS,1.0,5.0,4.0,6.0,10.0,3.4264956394,45.0,117.0,73.0
Adam Boqvist,23-24,D,CBJ,35,552.55,15.787142857142856,EV,1.0,1.0,4.0,2.0,6.0,1.9958063664,32.0,81.0,54.0
Adam Boqvist,23-24,D,CBJ,35,541.7833333333333,15.479523809523808,5v5,1.0,1.0,4.0,2.0,6.0,1.9958063664,32.0,81.0,54.0
Adam Boqvist,23-24,D,CBJ,35,72.68333333333334,2.0766666666666667,PP,0.0,4.0,0.0,4.0,4.0,1.19377723,11.0,31.0,16.0
Adam Boqvist,23-24,D,CBJ,35,2.283333333333333,0.06523809523809523,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Boqvist,24-25,D,FLA,18,231.16666666666669,12.842592592592593,AS,2.0,3.0,1.0,5.0,6.0,1.0270619804,21.0,51.0,30.0
Adam Boqvist,24-25,D,NYI,17,261.35,15.373529411764707,AS,2.0,2.0,4.0,4.0,8.0,1.3198607717060515,19.0,50.0,29.0
Adam Boqvist,24-25,D,FLA,18,190.78333333333333,10.599074074074075,EV,2.0,1.0,0.0,3.0,3.0,0.6700182914,17.0,43.0,25.0
Adam Boqvist,24-25,D,NYI,17,218.5,12.852941176470589,EV,1.0,1.0,3.0,2.0,5.0,0.8821695847060516,12.0,33.0,21.0
Adam Boqvist,24-25,D,FLA,18,190.05,10.558333333333334,5v5,2.0,1.0,0.0,3.0,3.0,0.6700182914,17.0,43.0,25.0
Adam Boqvist,24-25,D,NYI,17,217.03333333333333,12.766666666666666,5v5,1.0,1.0,3.0,2.0,5.0,0.8780350470060516,12.0,32.0,20.0
Adam Boqvist,24-25,D,FLA,18,36.71666666666667,2.039814814814815,PP,0.0,2.0,1.0,2.0,3.0,0.357043689,4.0,8.0,5.0
Adam Boqvist,24-25,D,NYI,17,34.21666666666667,2.0127450980392156,PP,1.0,1.0,1.0,2.0,3.0,0.392684431,5.0,10.0,6.0
Adam Boqvist,24-25,D,FLA,18,0.0666666666666666,0.0037037037037037,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Boqvist,24-25,D,NYI,17,1.7000000000000002,0.1,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Boqvist,25-26,D,NYI,3,40.81666666666666,13.605555555555554,AS,0.0,0.0,0.0,0.0,0.0,0.050945309,1.0,3.0,2.0
Adam Boqvist,25-26,D,NYI,3,39.03333333333333,13.011111111111111,EV,0.0,0.0,0.0,0.0,0.0,0.050945309,1.0,3.0,2.0
Adam Boqvist,25-26,D,NYI,3,39.03333333333333,13.011111111111111,5v5,0.0,0.0,0.0,0.0,0.0,0.050945309,1.0,3.0,2.0
Adam Edstrom,23-24,F,NYR,11,91.61666666666667,8.32878787878788,AS,2.0,0.0,0.0,2.0,2.0,0.757401445,7.0,10.0,8.0
Adam Edstrom,23-24,F,NYR,11,91.48333333333332,8.316666666666665,EV,2.0,0.0,0.0,2.0,2.0,0.757401445,7.0,10.0,8.0
Adam Edstrom,23-24,F,NYR,11,91.48333333333332,8.316666666666665,5v5,2.0,0.0,0.0,2.0,2.0,0.757401445,7.0,10.0,8.0
Adam Edstrom,23-24,F,NYR,11,0.1333333333333333,0.012121212121212118,PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Edstrom,24-25,F,NYR,51,472.95,9.273529411764706,AS,5.0,3.0,1.0,8.0,9.0,6.760176725,40.0,72.0,59.0
Adam Edstrom,24-25,F,NYR,51,466.8666666666667,9.154248366013071,EV,5.0,3.0,1.0,8.0,9.0,6.568045485,39.0,71.0,58.0
Adam Edstrom,24-25,F,NYR,51,466.6333333333333,9.149673202614379,5v5,5.0,3.0,1.0,8.0,9.0,6.568045485,39.0,71.0,58.0
Adam Edstrom,24-25,F,NYR,51,3.316666666666667,0.0650326797385621,PP,0.0,0.0,0.0,0.0,0.0,0.19213124,1.0,1.0,1.0
Adam Edstrom,24-25,F,NYR,51,0.5833333333333334,0.011437908496732027,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Edstrom,25-26,F,NYR,9,93.3,10.366666666666667,AS,0.0,2.0,0.0,2.0,2.0,1.056454322,7.0,13.0,11.0
Adam Edstrom,25-26,F,NYR,9,92.81666666666666,10.312962962962963,EV,0.0,2.0,0.0,2.0,2.0,1.056454322,7.0,13.0,11.0
Adam Edstrom,25-26,F,NYR,9,92.81666666666666,10.312962962962963,5v5,0.0,2.0,0.0,2.0,2.0,1.056454322,7.0,13.0,11.0
Adam Erne,23-24,F,EDM,24,187.1,7.795833333333333,AS,1.0,1.0,0.0,2.0,2.0,1.3155591194,13.0,25.0,17.0
Adam Erne,23-24,F,EDM,24,180.63333333333333,7.526388888888889,EV,1.0,1.0,0.0,2.0,2.0,1.1788908094,13.0,24.0,16.0
Adam Erne,23-24,F,EDM,24,180.6,7.5249999999999995,5v5,1.0,1.0,0.0,2.0,2.0,1.1788908094,13.0,24.0,16.0
Adam Erne,23-24,F,EDM,24,1.95,0.08125,PP,0.0,0.0,0.0,0.0,0.0,0.13666831,0.0,1.0,1.0
Adam Erne,23-24,F,EDM,24,4.516666666666667,0.18819444444444444,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Erne,25-26,F,DAL,4,39.233333333333334,9.808333333333334,AS,0.0,0.0,1.0,0.0,1.0,0.534209771,2.0,10.0,7.0
Adam Erne,25-26,F,DAL,4,39.13333333333333,9.783333333333333,EV,0.0,0.0,1.0,0.0,1.0,0.534209771,2.0,10.0,7.0
Adam Erne,25-26,F,DAL,4,39.13333333333333,9.783333333333333,5v5,0.0,0.0,1.0,0.0,1.0,0.534209771,2.0,10.0,7.0
Adam Fantilli,23-24,F,CBJ,49,750.2833333333333,15.311904761904762,AS,12.0,10.0,5.0,22.0,27.0,12.5908572691,115.0,243.0,170.0
Adam Fantilli,23-24,F,CBJ,49,639.8,13.057142857142857,EV,10.0,8.0,4.0,18.0,22.0,8.1278107111,86.0,185.0,129.0
Adam Fantilli,23-24,F,CBJ,49,612.6333333333333,12.502721088435374,5v5,10.0,7.0,4.0,17.0,21.0,7.8488147121,83.0,176.0,122.0
Adam Fantilli,23-24,F,CBJ,49,109.46666666666668,2.2340136054421773,PP,1.0,1.0,1.0,2.0,3.0,3.094989908,21.0,47.0,33.0
Adam Fantilli,23-24,F,CBJ,49,1.0166666666666666,0.02074829931972789,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Fantilli,24-25,F,CBJ,82,1433.1833333333334,17.477845528455287,AS,31.0,14.0,9.0,45.0,54.0,22.132413884893875,191.0,387.0,280.0
Adam Fantilli,24-25,F,CBJ,82,1245.0166666666669,15.183130081300815,EV,25.0,12.0,7.0,37.0,44.0,13.86990587868354,150.0,309.0,224.0
Adam Fantilli,24-25,F,CBJ,82,1202.5166666666669,14.664837398373987,5v5,25.0,12.0,7.0,37.0,44.0,13.05436742218354,140.0,295.0,211.0
Adam Fantilli,24-25,F,CBJ,82,123.65,1.5079268292682928,PP,2.0,0.0,2.0,2.0,4.0,3.106112904610334,25.0,46.0,33.0
Adam Fantilli,24-25,F,CBJ,82,23.166666666666664,0.282520325203252,SH,1.0,1.0,0.0,2.0,2.0,0.1409216706,3.0,3.0,3.0
Adam Fantilli,25-26,F,CBJ,6,92.75,15.458333333333334,AS,2.0,2.0,1.0,4.0,5.0,3.018551806,15.0,27.0,22.0
Adam Fantilli,25-26,F,CBJ,6,80.15,13.358333333333334,EV,2.0,1.0,1.0,3.0,4.0,1.340509826,9.0,18.0,14.0
Adam Fantilli,25-26,F,CBJ,6,79.48333333333333,13.247222222222222,5v5,2.0,1.0,1.0,3.0,4.0,1.340509826,9.0,18.0,14.0
Adam Fantilli,25-26,F,CBJ,6,9.966666666666669,1.6611111111111114,PP,0.0,0.0,0.0,0.0,0.0,0.66165146,5.0,5.0,5.0
Adam Fantilli,25-26,F,CBJ,6,0.5666666666666667,0.09444444444444444,SH,0.0,0.0,0.0,0.0,0.0,0.12797226,1.0,1.0,1.0
Adam Fox,23-24,D,NYR,72,1629.8666666666668,22.63703703703704,AS,17.0,25.0,31.0,42.0,73.0,9.667731734,137.0,290.0,195.0
Adam Fox,23-24,D,NYR,72,1272.6999999999998,17.676388888888887,EV,10.0,13.0,11.0,23.0,34.0,4.8489537608,90.0,198.0,132.0
Adam Fox,23-24,D,NYR,72,1234.6166666666668,17.147453703703704,5v5,9.0,13.0,9.0,22.0,31.0,4.4694718698,86.0,193.0,128.0
Adam Fox,23-24,D,NYR,72,244.88333333333333,3.4011574074074074,PP,6.0,8.0,17.0,14.0,31.0,2.924216309,34.0,65.0,44.0
Adam Fox,23-24,D,NYR,72,112.28333333333332,1.5594907407407406,SH,1.0,0.0,0.0,1.0,1.0,0.3192853211999999,9.0,11.0,9.0
Adam Fox,24-25,D,NYR,74,1720.4166666666663,23.24887387387387,AS,10.0,30.0,21.0,40.0,61.0,11.263951598883407,135.0,325.0,208.0
Adam Fox,24-25,D,NYR,74,1297.8833333333332,17.538963963963962,EV,7.0,18.0,10.0,25.0,35.0,6.320068020314671,92.0,237.0,148.0
Adam Fox,24-25,D,NYR,74,1265.2666666666669,17.0981981981982,5v5,6.0,17.0,10.0,23.0,33.0,5.645739499314671,89.0,228.0,144.0
Adam Fox,24-25,D,NYR,74,209.55,2.8317567567567568,PP,1.0,10.0,7.0,11.0,18.0,2.559279047955406,25.0,58.0,39.0
Adam Fox,24-25,D,NYR,74,147.9,1.9986486486486488,SH,0.0,0.0,1.0,0.0,1.0,0.4539343303140131,13.0,15.0,13.0
Adam Fox,25-26,D,NYR,9,220.8,24.533333333333335,AS,3.0,2.0,2.0,5.0,7.0,1.0643212897,19.0,51.0,31.0
Adam Fox,25-26,D,NYR,9,169.7,18.855555555555554,EV,1.0,1.0,1.0,2.0,3.0,0.5209095947,11.0,37.0,22.0
Adam Fox,25-26,D,NYR,9,165.03333333333333,18.337037037037035,5v5,1.0,1.0,1.0,2.0,3.0,0.5209095947,11.0,37.0,22.0
Adam Fox,25-26,D,NYR,9,34.9,3.8777777777777778,PP,1.0,1.0,0.0,2.0,2.0,0.297334917,7.0,10.0,7.0
Adam Fox,25-26,D,NYR,9,10.7,1.1888888888888889,SH,0.0,0.0,1.0,0.0,1.0,0.008368578,0.0,1.0,1.0
Adam Gaudette,23-24,F,STL,2,19.6,9.8,AS,0.0,0.0,0.0,0.0,0.0,0.0727761,0.0,1.0,1.0
Adam Gaudette,23-24,F,STL,2,19.6,9.8,EV,0.0,0.0,0.0,0.0,0.0,0.0727761,0.0,1.0,1.0
Adam Gaudette,23-24,F,STL,2,19.6,9.8,5v5,0.0,0.0,0.0,0.0,0.0,0.0727761,0.0,1.0,1.0
Adam Gaudette,24-25,F,OTT,81,844.2166666666667,10.422427983539094,AS,19.0,4.0,3.0,23.0,26.0,12.531361280134028,91.0,188.0,138.0
Adam Gaudette,24-25,F,OTT,81,719.3833333333333,8.88127572016461,EV,16.0,4.0,3.0,20.0,23.0,8.664365749073434,75.0,149.0,109.0
Adam Gaudette,24-25,F,OTT,81,717.5333333333333,8.85843621399177,5v5,16.0,4.0,3.0,20.0,23.0,8.664365749073434,75.0,149.0,109.0
Adam Gaudette,24-25,F,OTT,81,112.15,1.384567901234568,PP,3.0,0.0,0.0,3.0,3.0,3.4868636410605927,15.0,36.0,27.0
Adam Gaudette,24-25,F,OTT,81,5.083333333333333,0.06275720164609053,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Gaudette,25-26,F,S.J,7,78.41666666666667,11.202380952380953,AS,3.0,1.0,0.0,4.0,4.0,1.334074227,9.0,16.0,11.0
Adam Gaudette,25-26,F,S.J,7,67.2,9.6,EV,2.0,1.0,0.0,3.0,3.0,1.223094707,8.0,14.0,10.0
Adam Gaudette,25-26,F,S.J,7,67.2,9.6,5v5,2.0,1.0,0.0,3.0,3.0,1.223094707,8.0,14.0,10.0
Adam Gaudette,25-26,F,S.J,7,10.333333333333334,1.4761904761904763,PP,1.0,0.0,0.0,1.0,1.0,0.11097952,1.0,2.0,1.0
Adam Ginning,23-24,D,PHI,9,126.33333333333334,14.037037037037038,AS,1.0,0.0,0.0,1.0,1.0,0.1083313474,6.0,15.0,8.0
Adam Ginning,23-24,D,PHI,9,119.2,13.244444444444445,EV,1.0,0.0,0.0,1.0,1.0,0.1083313474,6.0,15.0,8.0
Adam Ginning,23-24,D,PHI,9,118.16666666666666,13.129629629629628,5v5,1.0,0.0,0.0,1.0,1.0,0.1083313474,6.0,15.0,8.0
Adam Ginning,23-24,D,PHI,9,7.133333333333333,0.7925925925925925,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Ginning,24-25,D,PHI,1,12.8,12.8,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Adam Ginning,24-25,D,PHI,1,12.566666666666666,12.566666666666666,EV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Adam Ginning,24-25,D,PHI,1,12.566666666666666,12.566666666666666,5v5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Adam Ginning,25-26,D,PHI,4,64.58333333333334,16.145833333333336,AS,0.0,0.0,0.0,0.0,0.0,0.08948626,2.0,7.0,5.0
Adam Ginning,25-26,D,PHI,4,54.983333333333334,13.745833333333334,EV,0.0,0.0,0.0,0.0,0.0,0.08948626,2.0,7.0,5.0
Adam Ginning,25-26,D,PHI,4,54.21666666666667,13.554166666666667,5v5,0.0,0.0,0.0,0.0,0.0,0.08948626,2.0,7.0,5.0
Adam Henrique,23-24,F,ANA,60,1020.2666666666668,17.004444444444445,AS,18.0,13.0,11.0,31.0,42.0,17.5300642648,111.0,216.0,174.0
Adam Henrique,23-24,F,EDM,22,321.6,14.618181818181819,AS,6.0,2.0,1.0,8.0,9.0,4.6961662536,29.0,56.0,49.0
Adam Henrique,23-24,F,ANA,60,733.1333333333334,12.218888888888891,EV,10.0,7.0,6.0,17.0,23.0,8.8456591708,74.0,145.0,112.0
Adam Henrique,23-24,F,EDM,22,289.1166666666667,13.141666666666667,EV,6.0,2.0,1.0,8.0,9.0,4.4869388686,29.0,54.0,47.0
