,player,Pos
272,EVGENI MALKIN,F
273,EVGENY DADONOV,F
275,FABIAN ZETTERLUND,F
276,FEDOR SVECHKOV,F
277,FILIP CHYTIL,F
278,FILIP FORSBERG,F
279,FILIP HRONEK,D
280,FRANK NAZAR,F
281,FRANK VATRANO,F
282,FRASER MINTEN,F
284,FREDERICK GAUDREAU,F
286,GABRIEL VILARDI,F
287,GAGE GONCALVES,F
288,GARNET HATHAWAY,F
294,GUSTAV FORSLING,D
295,GUSTAV NYQUIST,F
296,HAMPUS LINDHOLM,D
298,HAYDN FLEURY,D
300,HENDRIX LAPIERRE,F
301,HENRI JOKIHARJU,D
302,HENRY THRUN,D
303,HUDSON FASCHING,F
305,IAN COLE,D
306,IAN MITCHELL,D
308,ILYA LYUBUSHKIN,D
309,ILYA MIKHEYEV,F
312,ISAC LUNDESTROM,F
313,ISAIAH GEORGE,D
315,IVAN BARBASHEV,F
317,IVAN IVAN,F
319,IVAN PROVOROV,D
320,J.J. MOSER,D
321,J.T. COMPHER,F
322,J.T. MILLER,F
323,JACCOB SLAVIN,D
325,JACK DRURY,F
326,JACK EICHEL,F
328,JACK HUGHES,F
329,JACK JOHNSON,D
330,JACK MCBAIN,F
331,JACK QUINN,F
332,JACK ROSLOVIC,F
333,JACK ST. IVANY,D
334,JACK THOMPSON,D
336,JACKSON BLAKE,F
337,JACKSON LACOMBE,D
338,JACOB BERNARD-DOCKER,D
339,JACOB BRYSON,D
343,JACOB MOVERARE,D
345,JACOB TROUBA,D
346,JADEN SCHWARTZ,F
347,JAKE BEAN,D
348,JAKE CHRISTIANSEN,D
349,JAKE DEBRUSK,F
350,JAKE EVANS,F
351,JAKE GUENTZEL,F
352,JAKE MCCABE,D
353,JAKE MIDDLETON,D
354,JAKE NEIGHBOURS,F
355,JAKE SANDERSON,D
356,JAKE WALMAN,D
357,JAKOB CHYCHRUN,D
358,JAKOB PELLETIER,F
359,JAKUB LAUKO,F
360,JAKUB VRANA,F
361,JALEN CHATFIELD,D
363,JAMES VAN RIEMSDYK,F
364,JAMIE BENN,F
365,JAMIE DRYSDALE,D
366,JAMIE OLEKSIAK,D
368,JAN RUTTA,D
371,JANSEN HARKINS,F
372,JARED MCCANN,F
373,JARED SPURGEON,D
375,JASON DICKINSON,F
377,JASON ROBERTSON,F
378,JASON ZUCKER,F
380,JAYDEN STRUBLE,D
381,JEAN-GABRIEL PAGEAU,F
383,JEFF PETRY,D
384,JEFF SKINNER,F
387,JEREMY LAUZON,D
388,JESPER BOQVIST,F
389,JESPER BRATT,F
390,JESPERI KOTKANIEMI,F
391,JESSE PULJUJARVI,F
395,JIMMY VESEY,F
396,JIRI KULICH,F
397,JJ PETERKA,F
399,JOE VELENO,F
400,JOEL ARMIA,F
401,JOEL EDMUNDSON,D
402,JOEL ERIKSSON EK,F
403,JOEL FARABEE,F
404,JOEL HANLEY,D
405,JOEL KIVIRANTA,F
406,JOEY ANDERSON,F
407,JOHN BEECHER,F
408,JOHN CARLSON,D
413,JOHN MARINO,D
414,JOHN TAVARES,F
415,JOHNATHAN KOVACEVIC,D
416,JON MERRILL,D
417,JONAH GADJOVICH,F
418,JONAS BRODIN,D
420,JONAS SIEGENTHALER,D
421,JONATAN BERGGREN,F
422,JONATHAN DROUIN,F
423,JONATHAN HUBERDEAU,F
424,JONATHAN LEKKERIMAKI,F
425,JONATHAN MARCHESSAULT,F
426,JONNY BRODZINSKI,F
428,JORDAN EBERLE,F
429,JORDAN GREENWAY,F
430,JORDAN HARRIS,D
431,JORDAN KYROU,F
432,JORDAN MARTINOOK,F
433,JORDAN OESTERLE,D
434,JORDAN SPENCE,D
435,JORDAN STAAL,F
437,JOSH ANDERSON,F
439,JOSH DOAN,F
440,JOSH MAHURA,D
441,JOSH MANSON,D
442,JOSH MORRISSEY,D
443,JOSH NORRIS,F
448,JURAJ SLAFKOVSKY,F
449,JUSTIN BARRON,D
450,JUSTIN BRAZEAU,F
451,JUSTIN DANFORTH,F
452,JUSTIN DOWLING,F
453,JUSTIN FAULK,D
454,JUSTIN HOLL,D
456,JUSTIN KIRKLAND,F
459,JUUSO PARSSINEN,F
460,JUUSO VALIMAKI,D
461,K'ANDRE MILLER,D
462,KAAPO KAKKO,F
463,KAEDAN KORCZAK,D
464,KAIDEN GUHLE,D
467,KASPERI KAPANEN,F
468,KEATON MIDDLETON,D
469,KEEGAN KOLESAR,F
470,KENT JOHNSON,F
471,KEVIN BAHL,D
472,KEVIN FIALA,F
474,KEVIN HAYES,F
475,KEVIN KORCHINSKI,D
476,KEVIN LABANC,F
477,KEVIN ROONEY,F
478,KEVIN STENLUND,F
479,KIEFER SHERWOOD,F
480,KIEFFER BELLOWS,F
481,KIRBY DACH,F
482,KIRILL KAPRIZOV,F
484,KIRILL MARCHENKO,F
485,KLIM KOSTIN,F
486,KRIS LETANG,D
488,KYLE BURROUGHS,D
490,KYLE CONNOR,F
491,KYLE MACLEAN,F
492,KYLE PALMIERI,F
493,LANDON SLAGGERT,F
494,LANE HUTSON,D
495,LARS ELLER,F
496,LAWSON CROUSE,F
497,LEO CARLSSON,F
498,LEON DRAISAITL,F
500,LIAM O'BRIEN,F
501,LIAM OHGREN,F
502,LIAN BICHSEL,D
503,LINUS KARLSSON,F
504,LOGAN COOLEY,F
506,LOGAN O'CONNOR,F
507,LOGAN STANKOVEN,F
508,LOGAN STANLEY,D
509,LOUIS CREVIER,D
511,LUCA DEL BEL BELLUZ,F
512,LUCAS CARLSSON,D
514,LUCAS RAYMOND,F
515,LUKAS REICHEL,F
516,LUKE EVANGELISTA,F
517,LUKE GLENDENING,F
518,LUKE HUGHES,D
519,LUKE KUNIN,F
520,LUKE SCHENN,D
521,MACKENZIE WEEGAR,D
522,MACKIE SAMOSKEVICH,F
523,MACKLIN CELEBRINI,F
524,MARAT KHUSNUTDINOV,F
525,MARC DEL GAIZO,D
526,MARC GATCOMB,F
528,MARC-EDOUARD VLASIC,D
529,MARCO KASPER,F
530,MARCO ROSSI,F
531,MARCUS FOLIGNO,F
532,MARCUS JOHANSSON,F
533,MARCUS PETTERSSON,D
534,MARIO FERRARO,D
536,MARK JANKOWSKI,F
537,MARK KASTELIC,F
538,MARK SCHEIFELE,F
539,MARK STONE,F
540,MARTIN FEHARVARY,D
541,MARTIN FEHERVARY,D
542,MARTIN NECAS,F
543,MARTIN POSPISIL,F
544,MASON APPLETON,F
545,MASON LOHREI,D
546,MASON MARCHMENT,F
547,MASON MCTAVISH,F
551,MATHEW BARZAL,F
552,MATHIEU JOSEPH,F
553,MATHIEU OLIVIER,F
554,MATIAS MACCELLI,F
555,MATS ZUCCARELLO,F
557,MATT BOLDY,F
558,MATT CORONATO,F
559,MATT DUCHENE,F
560,MATT DUMBA,D
561,MATT GRZELCYK,D
563,MATT MARTIN,F
564,MATT NIETO,F
565,MATT REMPE,F
566,MATT ROY,D
569,MATTHEW HIGHMORE,F
570,MATTHEW KESSEL,D
571,MATTHEW KNIES,F
572,MATTHEW POITRAS,F
574,MATTHEW TKACHUK,F
576,MATTIAS EKHOLM,D
577,MATTIAS JANMARK,F
578,MATTIAS SAMUELSSON,D
579,MATTY BENIERS,F
580,MATVEI MICHKOV,F
581,MAVERIC LAMOUREUX,D
582,MAVRIK BOURQUE,F
583,MAX DOMI,F
584,MAX JONES,F
585,MAX PACIORETTY,F
586,MAX SASSON,F
587,MAXIM TSYPLAKOV,F
589,MICHAEL AMADIO,F
590,MICHAEL BUNTING,F
591,MICHAEL CALLAHAN,D
592,MICHAEL CARCONE,F
593,MICHAEL EYSSIMONT,F
594,MICHAEL KESSELRING,D
595,MICHAEL MCCARRON,F
598,MICHAEL RASMUSSEN,F
600,MIKA ZIBANEJAD,F
601,MIKAEL BACKLUND,F
602,MIKAEL GRANLUND,F
603,MIKAEL PYYHTIA,F
605,MIKE MATHESON,D
606,MIKE REILLY,D
607,MIKEY ANDERSON,D
608,MIKHAIL SERGACHEV,D
609,MIKKO RANTANEN,F
610,MILES WOOD,F
611,MIRO HEISKANEN,D
612,MITCH MARNER,F
613,MITCHELL CHAFFEE,F
614,MITCHELL STEPHENS,F
615,MORGAN BARRON,F
616,MORGAN FROST,F
617,MORGAN GEEKIE,F
618,MORGAN RIELLY,D
619,MORITZ SEIDER,D
620,NATE SCHMIDT,D
621,NATHAN BASTIAN,F
624,NATHAN MACKINNON,F
625,NATHAN WALKER,F
626,NAZEM KADRI,F
627,NEAL PIONK,D
628,NIC DOWD,F
629,NICHOLAS ROBERTSON,F
630,NICK BJUGSTAD,F
631,NICK BLANKENBURG,D
632,NICK COUSINS,F
633,NICK DESIMONE,D
634,NICK FOLIGNO,F
635,NICK JENSEN,D
636,NICK LEDDY,D
637,NICK PAUL,F
638,NICK PERBIX,D
639,NICK SCHMALTZ,F
640,NICK SEELER,D
641,NICK SUZUKI,F
642,NICO HISCHIER,F
643,NICO STURM,F
644,NICOLAS AUBE-KUBEL,F
645,NICOLAS DESLAURIERS,F
646,NICOLAS HAGUE,D
647,NICOLAS ROY,F
650,NIKITA KUCHEROV,F
651,NIKITA NESTERENKO,F
653,NIKITA ZADOROV,D
654,NIKO MIKKOLA,D
655,NIKOLAI KOVALENKO,F
656,NIKOLAJ EHLERS,F
657,NIKOLAS MATINPALO,D
659,NILS HOGLANDER,F
660,NILS LUNDKVIST,D
661,NINO NIEDERREITER,F
662,NOAH CATES,F
663,NOAH DOBSON,D
664,NOAH GREGOR,F
665,NOAH HANIFIN,D
666,NOAH JUULSEN,D
669,NOEL ACCIARI,F
670,NOLAN ALLAN,D
672,OLEN ZELLWEGER,D
673,OLIVER BJORKSTRAND,F
674,OLIVER EKMAN-LARSSON,D
676,OLIVER KYLINGTON,D
678,OLIVER WAHLSTROM,F
679,OLLE LYCKSELL,F
680,OLLI MAATTA,D
681,ONDREJ PALAT,F
682,OSKAR BACK,F
684,OSKAR SUNDQVIST,F
686,OWEN PICKERING,D
687,OWEN POWER,D
689,OWEN TIPPETT,F
692,PARKER KELLY,F
693,PARKER WOTHERSPOON,D
696,PATRICK KANE,F
697,PATRICK MAROON,F
698,PATRIK LAINE,F
699,PAUL COTTER,F
700,PAVEL BUCHNEVICH,F
701,PAVEL DOROFEYEV,F
702,PAVEL MINTYUKOV,D
703,PAVEL ZACHA,F
704,PEYTON KREBS,F
705,PHILIP BROBERG,D
706,PHILIP TOMASINO,F
707,PHILIPP KURASHEV,F
708,PHILIPPE MYERS,D
709,PHILLIP DANAULT,F
710,PHILLIP DI GIUSEPPE,F
711,PIERRE ENGVALL,F
712,PIERRE-LUC DUBOIS,F
713,PIERRE-OLIVIER JOSEPH,D
714,PIUS SUTER,F
