goalie_against,team,GP,AS_TOI,AS_TOI_Perc,last_team,all_teams,last_update,event_against,AS_xGA,AS_GA,AS_SA,AS_FA,AS_GSAx,AS_GAR,EV_TOI,EV_TOI_Perc,EV_xGA,EV_GA,EV_SA,EV_FA,EV_GSAx,EV_GAR,SH_TOI,SH_TOI_Perc,SH_xGA,SH_GA,SH_SA,SH_FA,SH_GSAx,SH_GAR,PP_TOI,PP_TOI_Perc,PP_xGA,PP_GA,PP_SA,PP_FA,PP_GSAx,PP_GAR,EV_WAR,SH_WAR,PP_WAR,AS_WAR
SPENCER KNIGHT,CHI,1,59.06666666666667,1.0,CHI,CHI,2025-10-07 20:43:29,CHI,3.7973363494,3,37,50,0.7973363494000001,1.1505687584884647,49.36666666666667,1.0,3.0558591904,2,31,42,1.0558591904,1.3587965734002672,3.7,1.0,0.591577265,1.0,5.0,6.0,-0.40842273500000004,-0.37015348023579986,6.0,1.0,0.149899894,0.0,1.0,2.0,0.149899894,0.17555693091477015,0.2571082577220218,-0.0700395616652286,0.033218465164046036,0.21770788554764592
SERGEI BOBROVSKY,FLA,1,59.06666666666667,1.0,FLA,FLA,2025-10-07 20:43:29,FLA,2.2535868091999998,2,19,32,0.25358680919999976,0.4632179359842996,49.36666666666667,1.0,1.5617185422,2,17,27,-0.43828145780000005,-0.2834631567332113,6.0,1.0,0.256756277,0.0,2.0,3.0,0.256756277,0.2733658932887878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05363622471734886,0.05172564452986759,0.0,0.08764899676519222
ARTURS SILOVS,PIT,1,59.61666666666667,1.0,PIT,PIT,2025-10-07 20:43:29,PIT,2.2369242055,0,25,38,2.2369242055,2.445005358538211,53.61666666666667,1.0,1.9500406295000001,0,22,35,1.9500406295000001,2.1433545776363334,4.0,1.0,0.28688357600000003,0.0,3.0,3.0,0.28688357600000003,0.30544213344829685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4055604583676448,0.057795034446746,0.0,0.46263810209770656
IGOR SHESTERKIN,NYR,1,59.61666666666667,1.0,NYR,NYR,2025-10-07 20:43:29,NYR,2.6185356196000003,1,28,39,1.6185356196000003,1.8621146866324505,53.61666666666667,1.0,2.6185356196000003,1,28,39,1.6185356196000003,1.8781196771333493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35537334096511386,0.0,0.0,0.3523449147068358
