player,Pos,season,TOI,EV_TOI,EVO_GAR,EVD_GAR,EVO_WAR,EVD_WAR,PP_TOI,PP_GAR,PP_WAR,SH_TOI,SH_GAR,SH_WAR,EV_Shoot_GAR,PP_Shoot_GAR,SH_Shoot_GAR,Shoot_GAR,EV_Shoot_WAR,PP_Shoot_WAR,SH_Shoot_WAR,Draw_GAR,Take_GAR,Pens_GAR,Draw_WAR,Take_WAR,Pens_WAR,WAR,GAR,team,GP,last_update
LEON DRAISAITL,F,20242025,1456.3,1223.8,13.201998160384695,0.0071685134515352975,2.498050710395748,0.0013564090755461384,228.65,2.6818167901571353,0.507446998281362,3.850000000000001,0.005753719067667083,0.0010887050452357053,16.9734784715507,8.206943276103084,-0.011819884816376556,25.168601862837406,3.211681249962289,1.5528982985746398,-0.0022365305087639086,1.3107530019322626,1.5401759333296257,2.850928935261888,0.24801756732973493,0.2914284290641345,0.5394459963938694,8.309731837219926,43.91626798116033,EDM,71,2025-04-18 11:12:19
DAVID PASTRNAK,F,20242025,1592.0833333333335,1308.9666666666667,11.946676283831247,-1.5550133883347188,2.260521688848885,-0.29423593703116013,281.18333333333334,3.9652895866945816,0.7503026699920873,1.933333333333333,0.002516391024505423,0.00047614552812633366,12.941853873792791,1.0648209267182907,0.0,14.006674800511082,2.4488268268569424,0.2014828846450449,0.0,2.4473389019194665,0.7530213388470997,3.200360240766566,0.46307964962941095,0.14248490778424266,0.6055645574136537,5.972938836253579,31.56650391449326,BOS,82,2025-04-18 11:12:19
TAGE THOMPSON,F,20242025,1356.1333333333334,1134.6166666666668,5.162633656032643,-0.9542508708674271,0.9768612686724952,-0.18056108150500427,215.51666666666665,2.238539193398752,0.4235710651057636,6.0,0.010197807811229892,0.0019296049535716515,21.3722313307539,2.0461791704608974,0.0,23.418410501214794,4.044002810024352,0.3871731588105208,0.0,-1.4842291385087298,2.234622937771321,0.7503937992625911,-0.28084230953519257,0.4228300405249883,0.1419877309897957,5.794964557051495,30.625924086852585,BUF,76,2025-04-18 11:12:19
NICO HISCHIER,F,20242025,1463.5666666666668,1102.9,7.436789206185955,-0.1730153344358493,1.4071715761422983,-0.032737550319749266,211.1833333333333,4.975645145629058,0.9414797472107541,149.48333333333335,-0.9936039470905591,-0.18800737704460221,8.654717107818014,5.729291597429924,-1.142061578527995,13.241947126719943,1.6376249986410418,1.0840829373821979,-0.21609817717732627,1.2905829802558497,2.949523692489634,4.240106672745484,0.24420104377281962,0.5581018619940575,0.8023029057668771,5.435819060601491,28.72786886975403,N.J,75,2025-04-18 11:12:19
JASON ROBERTSON,F,20242025,1400.1666666666667,1148.4333333333334,5.134616269861962,2.185437696689896,0.9715598854593755,0.41352332612223003,251.53333333333333,3.2021944372878184,0.6059116197194695,0.2,-0.00013814985988315636,-2.6140388101079367e-05,12.967507005614742,1.146289783353482,0.0,14.113796788968223,2.453680851482093,0.2168982280438459,0.0,0.27700804048662336,2.365117423609942,2.6421254640965652,0.05241480296515811,0.44752189694639505,0.49993669991155315,5.161484470350467,27.278032507044585,DAL,82,2025-04-18 11:12:19
NIKITA KUCHEROV,F,20242025,1586.7833333333335,1294.6666666666667,8.485860607008174,-1.1352189030043944,1.6056743729343443,-0.21480342237997824,291.4666666666667,4.174925988429768,0.7899695716169344,0.6499999999999999,-0.00044771349652542963,-8.47152835852633e-05,11.897315520070103,1.2016552239779603,0.0,13.098970744048064,2.251181762461892,0.2273743451136366,0.0,1.1468305393820508,1.2329619809045758,2.3797925202866264,0.21700054861417975,0.23329813524226967,0.4502986838564494,5.109610598319692,27.003883243271716,T.B,78,2025-04-18 11:12:19
NATHAN MACKINNON,F,20242025,1699.0166666666667,1394.45,18.304175871870296,-1.3223934505754107,3.4634726489464924,-0.25022014535232523,301.20000000000005,5.607671215644034,1.0610702178356597,3.3666666666666663,0.005348433204367171,0.001012017817557725,-1.709806748235085,2.5847824345958,0.0,0.874975686360715,-0.3235255686434393,0.4890863881753745,0.0,-0.15598931413326392,2.6559940769775734,2.5000047628443096,-0.029515927229411973,0.5025608858748237,0.4730449586454118,4.913940517424732,25.96978251934831,COL,79,2025-04-18 11:12:19
ARTEMI PANARIN,F,20242025,1509.6833333333332,1267.2333333333331,6.9512684829096845,-1.0465061358111194,1.3153024989800575,-0.198017403444351,241.41666666666669,3.923479843603741,0.7423915297873461,1.0333333333333334,0.0003433547043137002,6.496876098667535e-05,13.387053022864304,1.7143231122794118,-0.03750207366291819,15.0638740614808,2.5330663515936487,0.32438014431238543,-0.00709605323503822,-2.0095659796123124,3.0861922172116127,1.0766262375993003,-0.38024529786871186,0.5839619553771132,0.20371665750840134,4.913808694263437,25.96908584448672,NYR,80,2025-04-18 11:12:19
CALE MAKAR,D,20242025,1958.3999999999996,1501.1666666666663,4.844135617148078,2.5070661511428756,0.9165958268333444,0.47438109775415255,289.2166666666667,1.1813445195043704,0.22353120189224632,168.01666666666665,-1.2967831195458122,-0.24537421939136492,2.258870565896064,8.073393644024076,1.6123940375825594,11.9446582475027,0.42741811908147415,1.5276283546437934,0.30509336708645723,2.73195043245841,3.9921763412204774,6.724126773678887,0.5169331669085644,0.7553901177729233,1.2723232846814876,4.9015970325815905,25.904548189431104,COL,80,2025-04-18 11:12:19
WILLIAM NYLANDER,F,20242025,1530.9000000000003,1267.5166666666669,9.48003566521736,-4.535925837750845,1.7937898142672661,-0.8582771049989112,261.4,2.230295308058853,0.4220111767176898,1.9833333333333332,0.0011013834039041003,0.00020840114966813128,11.265490906060858,6.05935964393575,0.0,17.324850549996608,2.1316294108635248,1.1465376285612177,0.0,-1.6719389739439363,2.157773835246242,0.4858348613023058,-0.3163603184048077,0.4082888360176204,0.09192851761281265,4.727827844173268,24.986191930228184,TOR,82,2025-04-18 11:12:19
